Time,CoPx,CoPy
0.000000,0.007558,0.032279
0.001000,0.007566,0.032310
0.002000,0.007566,0.032341
0.003000,0.007574,0.032363
0.004000,0.007573,0.032394
0.005000,0.007569,0.032420
0.006000,0.007565,0.032456
0.007000,0.007556,0.032485
0.008000,0.007552,0.032519
0.009000,0.007547,0.032561
0.010000,0.007534,0.032587
0.011000,0.007525,0.032607
0.012000,0.007508,0.032636
0.013000,0.007495,0.032653
0.014000,0.007486,0.032684
0.015000,0.007478,0.032705
0.016000,0.007473,0.032722
0.017000,0.007465,0.032745
0.018000,0.007460,0.032761
0.019000,0.007459,0.032782
0.020000,0.007446,0.032798
0.021000,0.007441,0.032815
0.022000,0.007436,0.032840
0.023000,0.007435,0.032850
0.024000,0.007430,0.032858
0.025000,0.007425,0.032873
0.026000,0.007424,0.032884
0.027000,0.007415,0.032896
0.028000,0.007410,0.032913
0.029000,0.007409,0.032918
0.030000,0.007400,0.032922
0.031000,0.007395,0.032923
0.032000,0.007382,0.032933
0.033000,0.007378,0.032943
0.034000,0.007365,0.032944
0.035000,0.007347,0.032941
0.036000,0.007330,0.032938
0.037000,0.007313,0.032933
0.038000,0.007300,0.032934
0.039000,0.007287,0.032935
0.040000,0.007270,0.032932
0.041000,0.007252,0.032921
0.042000,0.007235,0.032918
0.043000,0.007230,0.032910
0.044000,0.007213,0.032900
0.045000,0.007209,0.032893
0.046000,0.007192,0.032884
0.047000,0.007184,0.032884
0.048000,0.007184,0.032866
0.049000,0.007180,0.032853
0.050000,0.007179,0.032844
0.051000,0.007179,0.032835
0.052000,0.007171,0.032827
0.053000,0.007171,0.032818
0.054000,0.007170,0.032810
0.055000,0.007187,0.032801
0.056000,0.007195,0.032792
0.057000,0.007194,0.032790
0.058000,0.007198,0.032775
0.059000,0.007206,0.032766
0.060000,0.007214,0.032750
0.061000,0.007226,0.032736
0.062000,0.007242,0.032727
0.063000,0.007258,0.032708
0.064000,0.007262,0.032695
0.065000,0.007270,0.032685
0.066000,0.007286,0.032676
0.067000,0.007298,0.032664
0.068000,0.007306,0.032646
0.069000,0.007310,0.032633
0.070000,0.007318,0.032625
0.071000,0.007330,0.032613
0.072000,0.007330,0.032598
0.073000,0.007339,0.032581
0.074000,0.007343,0.032554
0.075000,0.007339,0.032534
0.076000,0.007347,0.032519
0.077000,0.007355,0.032504
0.078000,0.007360,0.032493
0.079000,0.007364,0.032473
0.080000,0.007364,0.032457
0.081000,0.007372,0.032441
0.082000,0.007376,0.032422
0.083000,0.007381,0.032411
0.084000,0.007385,0.032393
0.085000,0.007385,0.032386
0.086000,0.007381,0.032375
0.087000,0.007377,0.032355
0.088000,0.007369,0.032340
0.089000,0.007361,0.032334
0.090000,0.007358,0.032332
0.091000,0.007358,0.032325
0.092000,0.007354,0.032314
0.093000,0.007354,0.032307
0.094000,0.007350,0.032296
0.095000,0.007351,0.032282
0.096000,0.007355,0.032273
0.097000,0.007360,0.032263
0.098000,0.007364,0.032244
0.099000,0.007365,0.032230
0.100000,0.007361,0.032220
0.101000,0.007365,0.032209
0.102000,0.007366,0.032203
0.103000,0.007366,0.032189
0.104000,0.007370,0.032185
0.105000,0.007375,0.032183
0.106000,0.007383,0.032177
0.107000,0.007384,0.032179
0.108000,0.007393,0.032173
0.109000,0.007401,0.032175
0.110000,0.007398,0.032181
0.111000,0.007411,0.032179
0.112000,0.007419,0.032189
0.113000,0.007416,0.032196
0.114000,0.007417,0.032206
0.115000,0.007413,0.032219
0.116000,0.007413,0.032220
0.117000,0.007409,0.032233
0.118000,0.007414,0.032237
0.119000,0.007426,0.032241
0.120000,0.007418,0.032249
0.121000,0.007422,0.032261
0.122000,0.007430,0.032276
0.123000,0.007434,0.032286
0.124000,0.007446,0.032296
0.125000,0.007462,0.032318
0.126000,0.007473,0.032336
0.127000,0.007477,0.032346
0.128000,0.007481,0.032363
0.129000,0.007493,0.032389
0.130000,0.007496,0.032407
0.131000,0.007496,0.032420
0.132000,0.007499,0.032437
0.133000,0.007499,0.032460
0.134000,0.007494,0.032468
0.135000,0.007498,0.032476
0.136000,0.007501,0.032493
0.137000,0.007504,0.032510
0.138000,0.007512,0.032522
0.139000,0.007514,0.032536
0.140000,0.007538,0.032547
0.141000,0.007549,0.032562
0.142000,0.007560,0.032568
0.143000,0.007567,0.032588
0.144000,0.007567,0.032617
0.145000,0.007570,0.032640
0.146000,0.007577,0.032659
0.147000,0.007584,0.032678
0.148000,0.007595,0.032695
0.149000,0.007595,0.032723
0.150000,0.007606,0.032747
0.151000,0.007609,0.032771
0.152000,0.007617,0.032791
0.153000,0.007628,0.032808
0.154000,0.007636,0.032829
0.155000,0.007644,0.032850
0.156000,0.007647,0.032867
0.157000,0.007651,0.032892
0.158000,0.007659,0.032906
0.159000,0.007666,0.032912
0.160000,0.007674,0.032925
0.161000,0.007686,0.032935
0.162000,0.007694,0.032942
0.163000,0.007698,0.032953
0.164000,0.007706,0.032968
0.165000,0.007706,0.032983
0.166000,0.007710,0.032986
0.167000,0.007710,0.032993
0.168000,0.007705,0.033005
0.169000,0.007710,0.033018
0.170000,0.007714,0.033029
0.171000,0.007714,0.033036
0.172000,0.007718,0.033040
0.173000,0.007718,0.033040
0.174000,0.007722,0.033036
0.175000,0.007722,0.033046
0.176000,0.007718,0.033051
0.177000,0.007718,0.033052
0.178000,0.007719,0.033055
0.179000,0.007711,0.033065
0.180000,0.007708,0.033072
0.181000,0.007704,0.033079
0.182000,0.007697,0.033084
0.183000,0.007690,0.033087
0.184000,0.007686,0.033087
0.185000,0.007679,0.033091
0.186000,0.007664,0.033095
0.187000,0.007652,0.033095
0.188000,0.007649,0.033088
0.189000,0.007634,0.033092
0.190000,0.007618,0.033096
0.191000,0.007606,0.033096
0.192000,0.007599,0.033093
0.193000,0.007575,0.033097
0.194000,0.007560,0.033093
0.195000,0.007557,0.033094
0.196000,0.007533,0.033098
0.197000,0.007513,0.033098
0.198000,0.007510,0.033082
0.199000,0.007503,0.033072
0.200000,0.007500,0.033072
0.201000,0.007489,0.033081
0.202000,0.007490,0.033069
0.203000,0.007491,0.033065
0.204000,0.007488,0.033066
0.205000,0.007493,0.033059
0.206000,0.007494,0.033055
0.207000,0.007494,0.033058
0.208000,0.007503,0.033052
0.209000,0.007499,0.033043
0.210000,0.007500,0.033030
0.211000,0.007501,0.033025
0.212000,0.007501,0.033019
0.213000,0.007493,0.033005
0.214000,0.007489,0.032994
0.215000,0.007490,0.032988
0.216000,0.007482,0.032982
0.217000,0.007470,0.032988
0.218000,0.007470,0.032982
0.219000,0.007470,0.032983
0.220000,0.007475,0.032988
0.221000,0.007479,0.032983
0.222000,0.007491,0.032987
0.223000,0.007499,0.032987
0.224000,0.007499,0.032978
0.225000,0.007502,0.032980
0.226000,0.007506,0.032975
0.227000,0.007501,0.032976
0.228000,0.007505,0.032979
0.229000,0.007509,0.032973
0.230000,0.007508,0.032979
0.231000,0.007508,0.032977
0.232000,0.007511,0.032977
0.233000,0.007510,0.032991
0.234000,0.007514,0.033000
0.235000,0.007517,0.033010
0.236000,0.007516,0.033023
0.237000,0.007511,0.033030
0.238000,0.007507,0.033047
0.239000,0.007506,0.033059
0.240000,0.007500,0.033074
0.241000,0.007492,0.033095
0.242000,0.007495,0.033104
0.243000,0.007494,0.033116
0.244000,0.007497,0.033131
0.245000,0.007505,0.033150
0.246000,0.007512,0.033170
0.247000,0.007515,0.033186
0.248000,0.007519,0.033202
0.249000,0.007522,0.033226
0.250000,0.007529,0.033247
0.251000,0.007529,0.033275
0.252000,0.007528,0.033296
0.253000,0.007527,0.033317
0.254000,0.007523,0.033327
0.255000,0.007523,0.033343
0.256000,0.007522,0.033366
0.257000,0.007522,0.033389
0.258000,0.007518,0.033401
0.259000,0.007514,0.033422
0.260000,0.007510,0.033442
0.261000,0.007510,0.033458
0.262000,0.007506,0.033478
0.263000,0.007502,0.033506
0.264000,0.007502,0.033530
0.265000,0.007511,0.033545
0.266000,0.007515,0.033557
0.267000,0.007519,0.033585
0.268000,0.007523,0.033603
0.269000,0.007531,0.033618
0.270000,0.007539,0.033641
0.271000,0.007547,0.033666
0.272000,0.007559,0.033686
0.273000,0.007563,0.033711
0.274000,0.007559,0.033738
0.275000,0.007558,0.033769
0.276000,0.007562,0.033795
0.277000,0.007566,0.033822
0.278000,0.007569,0.033847
0.279000,0.007565,0.033874
0.280000,0.007569,0.033894
0.281000,0.007569,0.033917
0.282000,0.007565,0.033938
0.283000,0.007566,0.033963
0.284000,0.007562,0.033985
0.285000,0.007562,0.034003
0.286000,0.007555,0.034022
0.287000,0.007548,0.034042
0.288000,0.007540,0.034063
0.289000,0.007525,0.034083
0.290000,0.007513,0.034100
0.291000,0.007514,0.034114
0.292000,0.007499,0.034118
0.293000,0.007484,0.034132
0.294000,0.007469,0.034140
0.295000,0.007467,0.034160
0.296000,0.007464,0.034180
0.297000,0.007458,0.034196
0.298000,0.007451,0.034205
0.299000,0.007445,0.034215
0.300000,0.007435,0.034221
