Time,CoPx,CoPy
0.000000,0.012958,0.014952
0.001000,0.012962,0.014981
0.002000,0.012976,0.015010
0.003000,0.012969,0.015035
0.004000,0.012958,0.015056
0.005000,0.012963,0.015078
0.006000,0.012973,0.015095
0.007000,0.012980,0.015110
0.008000,0.012989,0.015127
0.009000,0.012991,0.015153
0.010000,0.012992,0.015171
0.011000,0.012990,0.015184
0.012000,0.013000,0.015210
0.013000,0.013023,0.015225
0.014000,0.013037,0.015239
0.015000,0.013051,0.015253
0.016000,0.013061,0.015271
0.017000,0.013076,0.015293
0.018000,0.013078,0.015304
0.019000,0.013085,0.015319
0.020000,0.013091,0.015333
0.021000,0.013097,0.015348
0.022000,0.013099,0.015366
0.023000,0.013110,0.015384
0.024000,0.013112,0.015411
0.025000,0.013123,0.015429
0.026000,0.013129,0.015452
0.027000,0.013142,0.015473
0.028000,0.013148,0.015503
0.029000,0.013163,0.015534
0.030000,0.013173,0.015560
0.031000,0.013183,0.015578
0.032000,0.013197,0.015600
0.033000,0.013211,0.015614
0.034000,0.013217,0.015644
0.035000,0.013227,0.015670
0.036000,0.013237,0.015688
0.037000,0.013255,0.015706
0.038000,0.013278,0.015727
0.039000,0.013300,0.015757
0.040000,0.013317,0.015791
0.041000,0.013322,0.015812
0.042000,0.013336,0.015841
0.043000,0.013349,0.015862
0.044000,0.013362,0.015883
0.045000,0.013379,0.015916
0.046000,0.013400,0.015945
0.047000,0.013409,0.015969
0.048000,0.013417,0.015993
0.049000,0.013425,0.016018
0.050000,0.013438,0.016046
0.051000,0.013446,0.016078
0.052000,0.013458,0.016115
0.053000,0.013466,0.016147
0.054000,0.013465,0.016179
0.055000,0.013469,0.016207
0.056000,0.013477,0.016238
0.057000,0.013489,0.016258
0.058000,0.013497,0.016290
0.059000,0.013505,0.016331
0.060000,0.013510,0.016360
0.061000,0.013526,0.016384
0.062000,0.013542,0.016407
0.063000,0.013566,0.016431
0.064000,0.013578,0.016459
0.065000,0.013591,0.016488
0.066000,0.013600,0.016520
0.067000,0.013612,0.016549
0.068000,0.013625,0.016569
0.069000,0.013646,0.016597
0.070000,0.013651,0.016626
0.071000,0.013660,0.016660
0.072000,0.013666,0.016698
0.073000,0.013675,0.016731
0.074000,0.013676,0.016756
0.075000,0.013678,0.016790
0.076000,0.013687,0.016815
0.077000,0.013692,0.016837
0.078000,0.013693,0.016870
0.079000,0.013703,0.016896
0.080000,0.013704,0.016922
0.081000,0.013714,0.016940
0.082000,0.013719,0.016961
0.083000,0.013729,0.016995
0.084000,0.013730,0.017030
0.085000,0.013728,0.017060
0.086000,0.013730,0.017094
0.087000,0.013732,0.017129
0.088000,0.013721,0.017175
0.089000,0.013717,0.017212
0.090000,0.013706,0.017258
0.091000,0.013699,0.017300
0.092000,0.013688,0.017337
0.093000,0.013681,0.017371
0.094000,0.013674,0.017413
0.095000,0.013675,0.017462
0.096000,0.013667,0.017495
0.097000,0.013663,0.017524
0.098000,0.013654,0.017564
0.099000,0.013646,0.017596
0.100000,0.013646,0.017636
0.101000,0.013645,0.017676
0.102000,0.013640,0.017720
0.103000,0.013634,0.017763
0.104000,0.013620,0.017798
0.105000,0.013615,0.017833
0.106000,0.013623,0.017873
0.107000,0.013630,0.017912
0.108000,0.013633,0.017956
0.109000,0.013632,0.017995
0.110000,0.013635,0.018030
0.111000,0.013639,0.018065
0.112000,0.013637,0.018105
0.113000,0.013636,0.018144
0.114000,0.013639,0.018186
0.115000,0.013633,0.018237
0.116000,0.013627,0.018287
0.117000,0.013621,0.018330
0.118000,0.013611,0.018368
0.119000,0.013601,0.018414
0.120000,0.013607,0.018460
0.121000,0.013618,0.018510
0.122000,0.013628,0.018561
0.123000,0.013630,0.018611
0.124000,0.013637,0.018650
0.125000,0.013644,0.018688
0.126000,0.013646,0.018739
0.127000,0.013653,0.018794
0.128000,0.013665,0.018846
0.129000,0.013660,0.018897
0.130000,0.013646,0.018940
0.131000,0.013633,0.018991
0.132000,0.013628,0.019043
0.133000,0.013614,0.019102
0.134000,0.013606,0.019158
0.135000,0.013610,0.019219
0.136000,0.013605,0.019279
0.137000,0.013600,0.019346
0.138000,0.013596,0.019407
0.139000,0.013596,0.019471
0.140000,0.013592,0.019524
0.141000,0.013584,0.019581
0.142000,0.013580,0.019633
0.143000,0.013567,0.019694
0.144000,0.013551,0.019751
0.145000,0.013543,0.019807
0.146000,0.013522,0.019859
0.147000,0.013514,0.019916
0.148000,0.013498,0.019973
0.149000,0.013486,0.020043
0.150000,0.013479,0.020109
0.151000,0.013475,0.020179
0.152000,0.013472,0.020241
0.153000,0.013465,0.020299
0.154000,0.013457,0.020357
0.155000,0.013454,0.020420
0.156000,0.013447,0.020486
0.157000,0.013444,0.020548
0.158000,0.013440,0.020609
0.159000,0.013424,0.020674
0.160000,0.013399,0.020739
0.161000,0.013379,0.020800
0.162000,0.013354,0.020865
0.163000,0.013325,0.020933
0.164000,0.013308,0.020996
0.165000,0.013291,0.021060
0.166000,0.013270,0.021120
0.167000,0.013253,0.021184
0.168000,0.013236,0.021248
0.169000,0.013227,0.021312
0.170000,0.013218,0.021383
0.171000,0.013213,0.021451
0.172000,0.013201,0.021519
0.173000,0.013183,0.021590
0.174000,0.013167,0.021663
0.175000,0.013163,0.021739
0.176000,0.013150,0.021815
0.177000,0.013150,0.021887
0.178000,0.013137,0.021955
0.179000,0.013125,0.022032
0.180000,0.013108,0.022113
0.181000,0.013108,0.022193
0.182000,0.013104,0.022270
0.183000,0.013099,0.022345
0.184000,0.013091,0.022434
0.185000,0.013091,0.022515
0.186000,0.013087,0.022599
0.187000,0.013091,0.022684
0.188000,0.013096,0.022762
0.189000,0.013105,0.022843
0.190000,0.013110,0.022929
0.191000,0.013114,0.023014
0.192000,0.013119,0.023115
0.193000,0.013127,0.023203
0.194000,0.013135,0.023300
0.195000,0.013134,0.023395
0.196000,0.013142,0.023491
0.197000,0.013149,0.023594
0.198000,0.013156,0.023689
0.199000,0.013163,0.023784
0.200000,0.013175,0.023883
0.201000,0.013186,0.023966
0.202000,0.013189,0.024056
0.203000,0.013184,0.024139
0.204000,0.013192,0.024227
0.205000,0.013191,0.024322
0.206000,0.013190,0.024409
0.207000,0.013198,0.024504
0.208000,0.013201,0.024603
0.209000,0.013192,0.024698
0.210000,0.013179,0.024798
0.211000,0.013174,0.024897
0.212000,0.013170,0.025005
0.213000,0.013165,0.025104
0.214000,0.013148,0.025199
0.215000,0.013131,0.025295
0.216000,0.013118,0.025387
0.217000,0.013102,0.025475
0.218000,0.013097,0.025558
0.219000,0.013096,0.025637
0.220000,0.013088,0.025716
0.221000,0.013083,0.025799
0.222000,0.013078,0.025882
0.223000,0.013085,0.025961
0.224000,0.013084,0.026039
0.225000,0.013079,0.026121
0.226000,0.013070,0.026190
0.227000,0.013060,0.026261
0.228000,0.013051,0.026331
0.229000,0.013042,0.026408
0.230000,0.013041,0.026470
0.231000,0.013031,0.026531
0.232000,0.013021,0.026593
0.233000,0.013020,0.026654
0.234000,0.013010,0.026707
0.235000,0.013001,0.026769
0.236000,0.012988,0.026827
0.237000,0.012978,0.026888
0.238000,0.012969,0.026935
0.239000,0.012952,0.026982
0.240000,0.012943,0.027036
0.241000,0.012931,0.027080
0.242000,0.012915,0.027121
0.243000,0.012899,0.027162
0.244000,0.012892,0.027204
0.245000,0.012885,0.027255
0.246000,0.012871,0.027291
0.247000,0.012864,0.027327
0.248000,0.012855,0.027368
0.249000,0.012841,0.027406
0.250000,0.012829,0.027446
0.251000,0.012820,0.027489
0.252000,0.012808,0.027530
0.253000,0.012799,0.027558
0.254000,0.012791,0.027587
0.255000,0.012779,0.027620
0.256000,0.012764,0.027643
0.257000,0.012753,0.027671
0.258000,0.012742,0.027691
0.259000,0.012731,0.027711
0.260000,0.012721,0.027723
0.261000,0.012715,0.027733
0.262000,0.012705,0.027747
0.263000,0.012690,0.027756
0.264000,0.012677,0.027759
0.265000,0.012671,0.027777
0.266000,0.012660,0.027790
0.267000,0.012650,0.027803
0.268000,0.012644,0.027829
0.269000,0.012634,0.027859
0.270000,0.012632,0.027887
0.271000,0.012621,0.027915
0.272000,0.012614,0.027939
0.273000,0.012615,0.027979
0.274000,0.012604,0.028014
0.275000,0.012592,0.028049
0.276000,0.012571,0.028090
0.277000,0.012553,0.028125
0.278000,0.012535,0.028160
0.279000,0.012513,0.028206
0.280000,0.012503,0.028256
0.281000,0.012487,0.028307
0.282000,0.012463,0.028357
0.283000,0.012442,0.028410
0.284000,0.012425,0.028465
0.285000,0.012411,0.028516
0.286000,0.012398,0.028568
0.287000,0.012376,0.028626
0.288000,0.012341,0.028680
0.289000,0.012302,0.028737
0.290000,0.012268,0.028799
0.291000,0.012241,0.028860
0.292000,0.012210,0.028924
0.293000,0.012171,0.028989
0.294000,0.012132,0.029045
0.295000,0.012084,0.029100
0.296000,0.012040,0.029160
0.297000,0.012013,0.029228
0.298000,0.011990,0.029300
0.299000,0.011967,0.029370
0.300000,0.011936,0.029442
0.301000,0.011909,0.029501
0.302000,0.011894,0.029566
0.303000,0.011876,0.029650
0.304000,0.011862,0.029731
0.305000,0.011861,0.029801
0.306000,0.011851,0.029870
0.307000,0.011834,0.029933
0.308000,0.011817,0.030004
0.309000,0.011804,0.030072
0.310000,0.011791,0.030140
0.311000,0.011774,0.030220
0.312000,0.011758,0.030292
0.313000,0.011742,0.030381
0.314000,0.011729,0.030465
0.315000,0.011725,0.030550
0.316000,0.011717,0.030640
0.317000,0.011714,0.030727
0.318000,0.011715,0.030825
0.319000,0.011720,0.030929
0.320000,0.011717,0.031016
0.321000,0.011722,0.031103
0.322000,0.011723,0.031187
0.323000,0.011724,0.031280
0.324000,0.011721,0.031376
0.325000,0.011723,0.031478
0.326000,0.011729,0.031575
0.327000,0.011734,0.031671
0.328000,0.011727,0.031771
0.329000,0.011725,0.031877
0.330000,0.011727,0.031987
0.331000,0.011737,0.032097
0.332000,0.011735,0.032211
0.333000,0.011733,0.032325
0.334000,0.011738,0.032438
0.335000,0.011732,0.032555
0.336000,0.011734,0.032674
0.337000,0.011744,0.032799
0.338000,0.011758,0.032929
0.339000,0.011767,0.033053
0.340000,0.011777,0.033177
0.341000,0.011785,0.033291
0.342000,0.011790,0.033409
0.343000,0.011793,0.033525
0.344000,0.011797,0.033641
0.345000,0.011791,0.033754
0.346000,0.011778,0.033861
0.347000,0.011773,0.033966
0.348000,0.011771,0.034074
0.349000,0.011756,0.034178
0.350000,0.011746,0.034286
0.351000,0.011741,0.034390
0.352000,0.011735,0.034494
0.353000,0.011724,0.034600
0.354000,0.011718,0.034703
0.355000,0.011716,0.034808
0.356000,0.011705,0.034913
0.357000,0.011699,0.035007
0.358000,0.011700,0.035107
0.359000,0.011694,0.035209
0.360000,0.011687,0.035301
0.361000,0.011671,0.035393
0.362000,0.011669,0.035490
0.363000,0.011662,0.035573
0.364000,0.011663,0.035657
0.365000,0.011669,0.035738
0.366000,0.011658,0.035827
0.367000,0.011643,0.035910
0.368000,0.011639,0.035989
0.369000,0.011624,0.036071
0.370000,0.011617,0.036145
0.371000,0.011597,0.036208
0.372000,0.011573,0.036273
0.373000,0.011546,0.036336
0.374000,0.011505,0.036392
0.375000,0.011477,0.036428
0.376000,0.011445,0.036469
0.377000,0.011413,0.036511
0.378000,0.011389,0.036545
0.379000,0.011370,0.036576
0.380000,0.011350,0.036598
0.381000,0.011335,0.036618
0.382000,0.011320,0.036630
0.383000,0.011310,0.036640
0.384000,0.011300,0.036666
0.385000,0.011298,0.036677
0.386000,0.011289,0.036690
0.387000,0.011284,0.036691
0.388000,0.011279,0.036700
0.389000,0.011279,0.036707
0.390000,0.011279,0.036714
0.391000,0.011278,0.036721
0.392000,0.011274,0.036725
0.393000,0.011271,0.036731
0.394000,0.011263,0.036733
0.395000,0.011267,0.036729
0.396000,0.011272,0.036735
0.397000,0.011273,0.036739
0.398000,0.011278,0.036738
0.399000,0.011275,0.036738
0.400000,0.011277,0.036742
0.401000,0.011283,0.036752
0.402000,0.011292,0.036748
0.403000,0.011306,0.036758
0.404000,0.011308,0.036764
0.405000,0.011309,0.036769
0.406000,0.011303,0.036773
0.407000,0.011296,0.036788
0.408000,0.011294,0.036805
0.409000,0.011283,0.036814
0.410000,0.011272,0.036813
0.411000,0.011261,0.036820
0.412000,0.011241,0.036821
0.413000,0.011230,0.036828
0.414000,0.011215,0.036831
0.415000,0.011199,0.036834
0.416000,0.011187,0.036830
0.417000,0.011171,0.036824
0.418000,0.011158,0.036820
0.419000,0.011150,0.036822
0.420000,0.011130,0.036818
0.421000,0.011113,0.036810
0.422000,0.011093,0.036799
0.423000,0.011085,0.036799
0.424000,0.011089,0.036787
0.425000,0.011085,0.036785
0.426000,0.011085,0.036785
0.427000,0.011085,0.036785
0.428000,0.011089,0.036772
0.429000,0.011102,0.036769
0.430000,0.011113,0.036763
0.431000,0.011125,0.036757
0.432000,0.011125,0.036748
0.433000,0.011120,0.036742
0.434000,0.011123,0.036726
0.435000,0.011134,0.036703
0.436000,0.011137,0.036681
0.437000,0.011137,0.036671
0.438000,0.011128,0.036654
0.439000,0.011124,0.036641
0.440000,0.011128,0.036629
0.441000,0.011123,0.036608
0.442000,0.011120,0.036596
0.443000,0.011116,0.036579
0.444000,0.011104,0.036561
0.445000,0.011101,0.036543
0.446000,0.011102,0.036523
0.447000,0.011107,0.036505
0.448000,0.011113,0.036482
0.449000,0.011114,0.036456
0.450000,0.011128,0.036434
0.451000,0.011130,0.036407
0.452000,0.011136,0.036393
0.453000,0.011143,0.036381
0.454000,0.011153,0.036371
0.455000,0.011160,0.036359
0.456000,0.011170,0.036343
0.457000,0.011181,0.036333
0.458000,0.011184,0.036333
0.459000,0.011186,0.036325
0.460000,0.011197,0.036317
0.461000,0.011212,0.036313
0.462000,0.011227,0.036309
0.463000,0.011237,0.036300
0.464000,0.011244,0.036302
0.465000,0.011246,0.036308
0.466000,0.011248,0.036306
0.467000,0.011245,0.036297
0.468000,0.011246,0.036301
0.469000,0.011252,0.036309
0.470000,0.011249,0.036309
0.471000,0.011249,0.036311
0.472000,0.011255,0.036318
0.473000,0.011259,0.036316
0.474000,0.011256,0.036322
0.475000,0.011256,0.036333
0.476000,0.011265,0.036343
0.477000,0.011270,0.036356
0.478000,0.011270,0.036365
0.479000,0.011262,0.036373
0.480000,0.011258,0.036385
0.481000,0.011254,0.036388
0.482000,0.011249,0.036390
0.483000,0.011249,0.036389
0.484000,0.011252,0.036391
0.485000,0.011255,0.036393
0.486000,0.011251,0.036379
0.487000,0.011245,0.036362
0.488000,0.011244,0.036350
0.489000,0.011239,0.036326
0.490000,0.011224,0.036300
0.491000,0.011228,0.036285
0.492000,0.011230,0.036261
0.493000,0.011225,0.036228
0.494000,0.011223,0.036192
0.495000,0.011238,0.036157
