Time,CoPx,CoPy
0.000000,-0.000281,0.049730
0.001000,-0.000281,0.049725
0.002000,-0.000289,0.049730
0.003000,-0.000289,0.049732
0.004000,-0.000289,0.049736
0.005000,-0.000293,0.049737
0.006000,-0.000289,0.049738
0.007000,-0.000285,0.049748
0.008000,-0.000285,0.049761
0.009000,-0.000281,0.049771
0.010000,-0.000269,0.049779
0.011000,-0.000252,0.049782
0.012000,-0.000248,0.049792
0.013000,-0.000244,0.049794
0.014000,-0.000236,0.049799
0.015000,-0.000232,0.049797
0.016000,-0.000228,0.049796
0.017000,-0.000224,0.049788
0.018000,-0.000220,0.049789
0.019000,-0.000225,0.049789
0.020000,-0.000229,0.049783
0.021000,-0.000225,0.049775
0.022000,-0.000217,0.049768
0.023000,-0.000217,0.049764
0.024000,-0.000213,0.049764
0.025000,-0.000204,0.049759
0.026000,-0.000188,0.049764
0.027000,-0.000176,0.049746
0.028000,-0.000151,0.049734
0.029000,-0.000143,0.049738
0.030000,-0.000135,0.049734
0.031000,-0.000127,0.049731
0.032000,-0.000106,0.049739
0.033000,-0.000106,0.049739
0.034000,-0.000106,0.049730
0.035000,-0.000107,0.049717
0.036000,-0.000107,0.049720
0.037000,-0.000102,0.049720
0.038000,-0.000086,0.049717
0.039000,-0.000074,0.049717
0.040000,-0.000070,0.049717
0.041000,-0.000066,0.049709
0.042000,-0.000058,0.049701
0.043000,-0.000049,0.049712
0.044000,-0.000049,0.049709
0.045000,-0.000041,0.049706
0.046000,-0.000041,0.049709
0.047000,-0.000041,0.049703
0.048000,-0.000033,0.049698
0.049000,-0.000021,0.049696
0.050000,-0.000013,0.049690
0.051000,-0.000000,0.049688
0.052000,0.000016,0.049673
0.053000,0.000037,0.049678
0.054000,0.000053,0.049680
0.055000,0.000074,0.049676
0.056000,0.000095,0.049683
0.057000,0.000103,0.049691
0.058000,0.000115,0.049696
0.059000,0.000124,0.049706
0.060000,0.000136,0.049718
0.061000,0.000149,0.049740
0.062000,0.000157,0.049746
0.063000,0.000162,0.049756
0.064000,0.000166,0.049759
0.065000,0.000162,0.049770
0.066000,0.000170,0.049777
0.067000,0.000170,0.049790
0.068000,0.000174,0.049798
0.069000,0.000179,0.049806
0.070000,0.000179,0.049817
0.071000,0.000187,0.049832
0.072000,0.000191,0.049842
0.073000,0.000191,0.049861
0.074000,0.000200,0.049873
0.075000,0.000204,0.049881
0.076000,0.000208,0.049897
0.077000,0.000212,0.049913
0.078000,0.000212,0.049926
0.079000,0.000225,0.049926
0.080000,0.000229,0.049932
0.081000,0.000238,0.049943
0.082000,0.000242,0.049953
0.083000,0.000246,0.049969
0.084000,0.000259,0.049985
0.085000,0.000271,0.049993
0.086000,0.000284,0.050001
0.087000,0.000300,0.050013
0.088000,0.000300,0.050032
0.089000,0.000305,0.050048
0.090000,0.000309,0.050071
0.091000,0.000317,0.050089
0.092000,0.000334,0.050100
0.093000,0.000338,0.050114
0.094000,0.000342,0.050129
0.095000,0.000351,0.050140
0.096000,0.000355,0.050148
0.097000,0.000363,0.050153
0.098000,0.000372,0.050164
0.099000,0.000376,0.050172
0.100000,0.000380,0.050180
0.101000,0.000376,0.050189
0.102000,0.000372,0.050198
0.103000,0.000376,0.050208
0.104000,0.000372,0.050214
0.105000,0.000372,0.050218
0.106000,0.000368,0.050224
0.107000,0.000368,0.050237
0.108000,0.000372,0.050239
0.109000,0.000376,0.050238
0.110000,0.000384,0.050233
0.111000,0.000392,0.050238
0.112000,0.000397,0.050230
0.113000,0.000409,0.050232
0.114000,0.000413,0.050233
0.115000,0.000417,0.050236
0.116000,0.000429,0.050223
0.117000,0.000434,0.050217
0.118000,0.000434,0.050217
0.119000,0.000438,0.050212
0.120000,0.000442,0.050199
0.121000,0.000454,0.050194
0.122000,0.000458,0.050189
0.123000,0.000466,0.050181
0.124000,0.000487,0.050166
0.125000,0.000495,0.050155
0.126000,0.000511,0.050145
0.127000,0.000528,0.050136
0.128000,0.000536,0.050135
0.129000,0.000548,0.050131
0.130000,0.000548,0.050131
0.131000,0.000552,0.050121
