Time,CoPx,CoPy
0.000000,0.006144,0.061823
0.001000,0.006148,0.061842
0.002000,0.006156,0.061858
0.003000,0.006165,0.061866
0.004000,0.006177,0.061877
0.005000,0.006181,0.061888
0.006000,0.006189,0.061903
0.007000,0.006197,0.061917
0.008000,0.006206,0.061933
0.009000,0.006210,0.061946
0.010000,0.006214,0.061957
0.011000,0.006222,0.061965
0.012000,0.006230,0.061980
0.013000,0.006231,0.061990
0.014000,0.006231,0.061998
0.015000,0.006227,0.062003
0.016000,0.006231,0.062006
0.017000,0.006226,0.062015
0.018000,0.006226,0.062021
0.019000,0.006230,0.062030
0.020000,0.006230,0.062042
0.021000,0.006226,0.062053
0.022000,0.006229,0.062068
0.023000,0.006233,0.062083
0.024000,0.006237,0.062098
0.025000,0.006240,0.062111
0.026000,0.006244,0.062125
0.027000,0.006247,0.062138
0.028000,0.006251,0.062151
0.029000,0.006250,0.062167
0.030000,0.006249,0.062189
0.031000,0.006252,0.062200
0.032000,0.006247,0.062209
0.033000,0.006250,0.062218
0.034000,0.006245,0.062229
0.035000,0.006236,0.062245
0.036000,0.006227,0.062261
0.037000,0.006231,0.062272
0.038000,0.006234,0.062285
0.039000,0.006229,0.062298
0.040000,0.006225,0.062313
0.041000,0.006229,0.062328
0.042000,0.006224,0.062343
0.043000,0.006224,0.062361
0.044000,0.006232,0.062371
0.045000,0.006239,0.062383
0.046000,0.006227,0.062400
0.047000,0.006215,0.062409
0.048000,0.006219,0.062420
0.049000,0.006218,0.062435
0.050000,0.006215,0.062456
0.051000,0.006215,0.062482
0.052000,0.006216,0.062496
0.053000,0.006216,0.062519
0.054000,0.006213,0.062542
0.055000,0.006217,0.062559
0.056000,0.006226,0.062580
0.057000,0.006222,0.062589
0.058000,0.006219,0.062598
0.059000,0.006224,0.062607
0.060000,0.006220,0.062617
0.061000,0.006225,0.062634
0.062000,0.006229,0.062643
0.063000,0.006234,0.062655
0.064000,0.006239,0.062668
0.065000,0.006236,0.062673
0.066000,0.006237,0.062684
0.067000,0.006250,0.062697
0.068000,0.006255,0.062711
0.069000,0.006256,0.062721
0.070000,0.006257,0.062729
0.071000,0.006262,0.062735
0.072000,0.006267,0.062740
0.073000,0.006272,0.062751
0.074000,0.006277,0.062763
0.075000,0.006286,0.062777
0.076000,0.006278,0.062794
0.077000,0.006279,0.062802
0.078000,0.006288,0.062808
0.079000,0.006285,0.062819
0.080000,0.006277,0.062834
0.081000,0.006278,0.062842
0.082000,0.006279,0.062840
0.083000,0.006283,0.062849
0.084000,0.006284,0.062856
0.085000,0.006289,0.062851
0.086000,0.006294,0.062854
0.087000,0.006299,0.062865
0.088000,0.006303,0.062869
0.089000,0.006300,0.062874
0.090000,0.006309,0.062881
0.091000,0.006310,0.062889
0.092000,0.006311,0.062900
0.093000,0.006311,0.062908
0.094000,0.006308,0.062919
0.095000,0.006305,0.062929
0.096000,0.006305,0.062935
0.097000,0.006302,0.062947
0.098000,0.006306,0.062956
0.099000,0.006290,0.062960
0.100000,0.006278,0.062959
0.101000,0.006266,0.062958
0.102000,0.006262,0.062960
0.103000,0.006262,0.062970
0.104000,0.006259,0.062977
0.105000,0.006246,0.062976
0.106000,0.006247,0.062970
0.107000,0.006243,0.062967
0.108000,0.006243,0.062970
0.109000,0.006243,0.062980
0.110000,0.006247,0.062995
0.111000,0.006235,0.063000
0.112000,0.006227,0.062994
0.113000,0.006219,0.062989
0.114000,0.006223,0.062994
0.115000,0.006227,0.063005
0.116000,0.006227,0.063005
0.117000,0.006227,0.063005
0.118000,0.006219,0.063007
0.119000,0.006211,0.062999
0.120000,0.006219,0.062997
0.121000,0.006227,0.063003
0.122000,0.006235,0.063009
0.123000,0.006231,0.063004
0.124000,0.006223,0.062995
0.125000,0.006227,0.062998
0.126000,0.006227,0.062998
0.127000,0.006235,0.062996
0.128000,0.006247,0.062997
0.129000,0.006247,0.063005
0.130000,0.006243,0.063010
0.131000,0.006243,0.063010
0.132000,0.006243,0.063008
0.133000,0.006251,0.063014
0.134000,0.006259,0.063020
0.135000,0.006267,0.063026
0.136000,0.006271,0.063027
0.137000,0.006271,0.063024
0.138000,0.006279,0.063022
0.139000,0.006283,0.063023
0.140000,0.006287,0.063024
0.141000,0.006291,0.063033
0.142000,0.006295,0.063042
0.143000,0.006282,0.063043
0.144000,0.006278,0.063050
0.145000,0.006282,0.063067
0.146000,0.006281,0.063079
0.147000,0.006272,0.063089
0.148000,0.006276,0.063094
0.149000,0.006275,0.063104
0.150000,0.006279,0.063111
0.151000,0.006279,0.063123
0.152000,0.006287,0.063135
0.153000,0.006286,0.063139
0.154000,0.006282,0.063143
0.155000,0.006277,0.063150
0.156000,0.006285,0.063152
0.157000,0.006280,0.063159
0.158000,0.006276,0.063166
0.159000,0.006263,0.063181
0.160000,0.006254,0.063172
0.161000,0.006245,0.063172
0.162000,0.006240,0.063166
0.163000,0.006231,0.063160
0.164000,0.006235,0.063155
0.165000,0.006222,0.063151
0.166000,0.006217,0.063148
0.167000,0.006212,0.063145
0.168000,0.006216,0.063133
0.169000,0.006215,0.063129
0.170000,0.006219,0.063122
0.171000,0.006215,0.063133
0.172000,0.006215,0.063139
0.173000,0.006211,0.063144
0.174000,0.006223,0.063149
0.175000,0.006228,0.063156
0.176000,0.006228,0.063168
0.177000,0.006233,0.063175
0.178000,0.006233,0.063194
0.179000,0.006233,0.063212
0.180000,0.006237,0.063225
0.181000,0.006242,0.063241
0.182000,0.006242,0.063259
0.183000,0.006234,0.063278
0.184000,0.006230,0.063291
0.185000,0.006234,0.063302
0.186000,0.006230,0.063321
0.187000,0.006218,0.063332
0.188000,0.006214,0.063343
0.189000,0.006218,0.063357
0.190000,0.006214,0.063376
0.191000,0.006205,0.063390
0.192000,0.006214,0.063398
0.193000,0.006218,0.063410
0.194000,0.006214,0.063423
0.195000,0.006210,0.063436
0.196000,0.006214,0.063450
0.197000,0.006218,0.063471
0.198000,0.006218,0.063487
0.199000,0.006214,0.063490
0.200000,0.006218,0.063501
0.201000,0.006209,0.063521
0.202000,0.006205,0.063549
0.203000,0.006205,0.063577
0.204000,0.006213,0.063599
0.205000,0.006222,0.063613
0.206000,0.006221,0.063625
0.207000,0.006212,0.063635
0.208000,0.006224,0.063658
0.209000,0.006232,0.063678
