Seq,COPx,COPy
0,0.001491,-0.022938
1,0.000086,-0.020683
2,-0.001314,-0.017976
3,-0.002489,-0.015077
4,-0.003234,-0.011932
5,-0.00352,-0.00847
6,-0.003387,-0.005157
7,-0.002888,-0.002853
8,-0.002263,-0.001458
9,-0.001584,-0.000504
10,-0.000902,0.00005
11,-0.00023,0.000441
12,0.000514,0.000791
13,0.001335,0.001097
14,0.002232,0.00132
15,0.003183,0.00152
16,0.0042,0.001774
17,0.005266,0.002075
18,0.006354,0.002463
19,0.007469,0.003036
20,0.008627,0.004058
21,0.009894,0.005768
22,0.011301,0.0086
23,0.012593,0.012565
24,0.013466,0.017404
25,0.013407,0.022199
26,0.01265,0.025926
27,0.011973,0.028765
28,0.011687,0.031043
29,0.011398,0.032744
30,0.011147,0.034282
31,0.011145,0.035768
32,0.011375,0.036954
33,0.011842,0.037571
34,0.012373,0.037664
35,0.012824,0.037554
36,0.013242,0.037391
37,0.013554,0.037129
38,0.013705,0.03676
39,0.013709,0.036334
40,0.013617,0.03592
41,0.013468,0.035485
42,0.01322,0.034971
43,0.012932,0.034487
44,0.01265,0.034024
45,0.012267,0.033728
46,0.011679,0.034034
47,0.01083,0.035207
48,0.009897,0.037221
49,0.009001,0.039914
50,0.008319,0.042858
51,0.007783,0.045757
52,0.00728,0.048493
53,0.006673,0.051286
54,0.005942,0.054375
55,0.005011,0.057501
56,0.003699,0.060264
57,0.001886,0.062268
58,-0.000047,0.063336
59,-0.001575,0.063664
60,-0.002469,0.062956
61,-0.002832,0.060758
62,-0.00307,0.057686
63,-0.003358,0.054548
64,-0.003649,0.051313
65,-0.004018,0.047914
66,-0.00439,0.044623
67,-0.004794,0.041573
68,-0.005275,0.038915
69,-0.005724,0.036779
70,-0.006069,0.035118
71,-0.006291,0.033988
72,-0.006446,0.033566
73,-0.006473,0.033645
74,-0.006367,0.033929
75,-0.006107,0.034231
76,-0.005792,0.034587
77,-0.005514,0.035111
78,-0.005355,0.03628
79,-0.005217,0.038409
80,-0.004963,0.040884
81,-0.004522,0.043293
82,-0.003911,0.045489
83,-0.00321,0.046976
84,-0.002506,0.047474
85,-0.001905,0.047452
86,-0.00144,0.047299
87,-0.001015,0.046799
88,-0.00058,0.045733
89,-0.000229,0.044198
90,0.000136,0.042268
91,0.000579,0.039818
92,0.001027,0.037211
93,0.001429,0.034921
94,0.001783,0.033089
95,0.002252,0.031504
96,0.003014,0.029887
97,0.004078,0.028002
98,0.005287,0.0258
99,0.006344,0.023333
100,0.00716,0.021015
101,0.007801,0.019185
102,0.008333,0.017796
103,0.008807,0.016869
104,0.00924,0.016469
105,0.009648,0.01655
106,0.009961,0.017019
107,0.010151,0.01785
108,0.010173,0.019047
109,0.010107,0.020481
110,0.010094,0.022045
111,0.010273,0.023473
112,0.010562,0.024479
113,0.010857,0.025149
114,0.01118,0.025647
115,0.011449,0.02603
116,0.011644,0.026338
117,0.011821,0.026521
118,0.012017,0.026573
119,0.012351,0.026317
120,0.012782,0.025576
121,0.013208,0.0246
122,0.013596,0.023559
123,0.013911,0.022474
124,0.014172,0.021493
125,0.014356,0.020668
126,0.014446,0.020024
127,0.014403,0.019541
128,0.014246,0.01912
129,0.014072,0.018866
130,0.01399,0.018826
131,0.01401,0.018955
132,0.014155,0.019206
133,0.014361,0.019496
134,0.014565,0.019722
135,0.0147,0.019779
136,0.014835,0.019678
137,0.014901,0.01937
138,0.014823,0.019037
139,0.01468,0.01885
140,0.014492,0.018808
141,0.014318,0.018878
142,0.014144,0.019207
143,0.013962,0.019809
144,0.013772,0.020574
145,0.013617,0.021269
146,0.013378,0.021626
147,0.013068,0.021364
