Model Outputs
250
,,MJR_V2:LAbsAnkleAngle,,,MJR_V2:LAnkleAngles,,,MJR_V2:LAnkleForce,,,MJR_V2:LAnkleMoment,,,MJR_V2:LAnklePower,,,MJR_V2:LFE,,,,,,,,,MJR_V2:LFO,,,,,,,,,MJR_V2:LFootProgressAngles,,,MJR_V2:LGroundReactionForce,,,MJR_V2:LGroundReactionMoment,,,MJR_V2:LHipAngles,,,MJR_V2:LHipForce,,,MJR_V2:LHipMoment,,,MJR_V2:LHipPower,,,MJR_V2:LKneeAngles,,,MJR_V2:LKneeForce,,,MJR_V2:LKneeMoment,,,MJR_V2:LKneePower,,,MJR_V2:LNormalisedGRF,,,MJR_V2:LPelvisAngles,,,MJR_V2:LTI,,,,,,,,,MJR_V2:LTO,,,,,,,,,MJR_V2:PEL,,,,,,,,,MJR_V2:RAbsAnkleAngle,,,MJR_V2:RAnkleAngles,,,MJR_V2:RAnkleForce,,,MJR_V2:RAnkleMoment,,,MJR_V2:RAnklePower,,,MJR_V2:RFE,,,,,,,,,MJR_V2:RFO,,,,,,,,,MJR_V2:RFootProgressAngles,,,MJR_V2:RGroundReactionForce,,,MJR_V2:RGroundReactionMoment,,,MJR_V2:RHipAngles,,,MJR_V2:RHipForce,,,MJR_V2:RHipMoment,,,MJR_V2:RHipPower,,,MJR_V2:RKneeAngles,,,MJR_V2:RKneeForce,,,MJR_V2:RKneeMoment,,,MJR_V2:RKneePower,,,MJR_V2:RNormalisedGRF,,,MJR_V2:RPelvisAngles,,,MJR_V2:RTI,,,,,,,,,MJR_V2:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,,,,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,6.89189,0,0,10.7771,-10.4888,50.0791,,,,,,,,,,1.8382,1.26494,105.424,334.092,-97.2563,788.983,348.416,348.416,348.416,75.1955,-60.0119,75.2935,262.591,-3.40503,369.058,244.497,244.497,244.497,-87.1129,-2.79897,-9.52572,,,,,,,14.7235,-0.30338,-8.63175,,,,,,,,,,9.74113,-4.58366,-45.086,,,,,,,,,,,,,14.4891,-0.151285,-6.99049,1.27448,15.0766,149.692,307.764,-170.885,392.641,386.982,386.982,386.982,75.1954,-60.0119,75.2935,249.104,76.8683,365.009,81.4991,81.4992,81.4991,-10.9734,12.1446,96.4374,437.911,-87.4716,1134.57,185.434,185.434,185.434,13.6547,0,0,14.7958,-3.68236,22.4215,,,,,,,,,,-0.743955,-6.22321,78.9652,559.785,-58.0086,782.559,351.174,351.174,351.174,50.832,-79.3867,66.5734,644.606,-20.1982,368.715,246.616,246.616,246.616,-87.2387,-9.03799,-14.9681,,,,,,,16.9428,-6.79828,-17.5845,,,,,,,,,,20.7985,-2.35041,-27.4599,,,,,,,,,,,,,14.4891,0.151285,6.99049,-17.924,5.04807,50.7269,581.627,-183.79,389.952,394.841,394.841,394.841,50.832,-79.3868,66.5734,665.838,59.1258,364.89,82.2055,82.2055,82.2055
2,0,6.87889,0,0,10.7557,-10.4873,50.0749,,,,,,,,,,1.83843,1.26869,105.419,334.116,-97.2791,788.994,348.417,348.417,348.417,75.186,-60.0147,75.3097,262.589,-3.40557,369.043,244.497,244.497,244.497,-87.1043,-2.78445,-9.52891,,,,,,,14.7243,-0.306119,-8.63122,,,,,,,,,,9.73535,-4.58194,-45.0872,,,,,,,,,,,,,14.4921,-0.150711,-6.98561,1.2792,15.0724,149.689,307.767,-170.879,392.656,386.974,386.974,386.974,75.186,-60.0147,75.3097,249.097,76.8664,364.983,81.4992,81.4992,81.4991,-10.9756,12.147,96.4322,437.948,-87.4879,1134.59,185.434,185.434,185.434,13.6521,0,0,14.7937,-3.68337,22.4279,,,,,,,,,,-0.740532,-6.22044,78.9634,559.8,-58.0283,782.569,351.174,351.174,351.174,50.834,-79.3852,66.5715,644.609,-20.1957,368.715,246.616,246.616,246.616,-87.2389,-9.03532,-14.9678,,,,,,,16.9476,-6.79397,-17.5814,,,,,,,,,,20.7955,-2.3528,-27.4647,,,,,,,,,,,,,14.4921,0.150711,6.98561,-17.9204,5.04702,50.7215,581.631,-183.788,389.952,394.845,394.845,394.845,50.834,-79.3852,66.5715,665.841,59.1285,364.889,82.2055,82.2055,82.2055
3,0,6.86447,0,0,10.7321,-10.4858,50.0708,,,,,,,,,,1.83866,1.2729,105.413,334.143,-97.3048,789.005,348.419,348.419,348.419,75.1755,-60.0178,75.3276,262.586,-3.40598,369.027,244.497,244.497,244.497,-87.0948,-2.76845,-9.53239,,,,,,,14.725,-0.309254,-8.63074,,,,,,,,,,9.72879,-4.5801,-45.0889,,,,,,,,,,,,,14.4953,-0.150092,-6.98007,1.28468,15.0678,149.685,307.77,-170.874,392.672,386.965,386.965,386.965,75.1755,-60.0178,75.3276,249.089,76.8645,364.954,81.4992,81.4992,81.4992,-10.9778,12.1494,96.4264,437.991,-87.5064,1134.6,185.434,185.434,185.434,13.6492,0,0,14.7912,-3.68438,22.4343,,,,,,,,,,-0.736657,-6.21719,78.9612,559.816,-58.0511,782.581,351.174,351.174,351.174,50.8363,-79.3835,66.5693,644.612,-20.1934,368.714,246.616,246.616,246.616,-87.2392,-9.03222,-14.9675,,,,,,,16.9526,-6.78893,-17.5781,,,,,,,,,,20.7919,-2.35563,-27.4694,,,,,,,,,,,,,14.4953,0.150092,6.98007,-17.9163,5.04593,50.7162,581.636,-183.786,389.951,394.849,394.849,394.849,50.8363,-79.3834,66.5693,665.844,59.1309,364.888,82.2055,82.2055,82.2055
4,0,6.8488,0,0,10.7064,-10.4844,50.0666,,,,,,,,,,1.83889,1.27754,105.406,334.173,-97.3335,789.018,348.421,348.421,348.421,75.1642,-60.0213,75.3469,262.583,-3.40621,369.01,244.497,244.497,244.497,-87.0847,-2.75114,-9.53615,,,,,,,14.7254,-0.312759,-8.63035,,,,,,,,,,9.72147,-4.57817,-45.0913,,,,,,,,,,,,,14.4985,-0.149427,-6.97389,1.29091,15.0627,149.682,307.773,-170.867,392.69,386.955,386.955,386.956,75.1642,-60.0213,75.3469,249.081,76.8627,364.923,81.4991,81.4991,81.4992,-10.9802,12.1518,96.4199,438.038,-87.527,1134.61,185.434,185.434,185.434,13.646,0,0,14.7884,-3.68539,22.4406,,,,,,,,,,-0.732342,-6.21342,78.9586,559.833,-58.077,782.594,351.174,351.174,351.174,50.8388,-79.3815,66.5666,644.616,-20.1913,368.713,246.616,246.616,246.616,-87.2395,-9.02873,-14.9672,,,,,,,16.9578,-6.78315,-17.5746,,,,,,,,,,20.7879,-2.35895,-27.4736,,,,,,,,,,,,,14.4985,0.149427,6.97389,-17.9117,5.04481,50.711,581.641,-183.785,389.95,394.853,394.853,394.853,50.8388,-79.3816,66.5666,665.847,59.1331,364.888,82.2055,82.2055,82.2055
5,0,6.83193,0,0,10.679,-10.483,50.0627,,,,,,,,,,1.83909,1.28261,105.399,334.206,-97.3648,789.031,348.424,348.424,348.424,75.1522,-60.0249,75.3674,262.58,-3.40623,368.993,244.497,244.497,244.497,-87.0739,-2.73267,-9.54014,,,,,,,14.7256,-0.316585,-8.63011,,,,,,,,,,9.71342,-4.57618,-45.0942,,,,,,,,,,,,,14.5018,-0.148687,-6.9671,1.29788,15.0571,149.679,307.777,-170.86,392.709,386.945,386.945,386.945,75.1522,-60.0249,75.3674,249.072,76.861,364.89,81.4992,81.4991,81.4991,-10.9825,12.1542,96.4128,438.09,-87.5496,1134.63,185.434,185.434,185.434,13.6424,0,0,14.7852,-3.68633,22.4465,,,,,,,,,,-0.727607,-6.20913,78.9555,559.851,-58.106,782.609,351.175,351.175,351.175,50.8416,-79.3794,66.5635,644.62,-20.1896,368.711,246.616,246.616,246.616,-87.2399,-9.02484,-14.9671,,,,,,,16.9632,-6.77666,-17.571,,,,,,,,,,20.7833,-2.36276,-27.4772,,,,,,,,,,,,,14.5018,0.148687,6.9671,-17.9067,5.04372,50.7062,581.647,-183.784,389.949,394.858,394.857,394.858,50.8416,-79.3795,66.5635,665.85,59.1348,364.887,82.2055,82.2055,82.2055
6,0,6.81412,0,0,10.6501,-10.4816,50.0589,,,,,,,,,,1.83927,1.28806,105.392,334.243,-97.3987,789.045,348.427,348.427,348.427,75.1396,-60.0289,75.389,262.577,-3.40603,368.974,244.497,244.497,244.497,-87.0626,-2.71324,-9.54435,,,,,,,14.7254,-0.320739,-8.63008,,,,,,,,,,9.70463,-4.57415,-45.0976,,,,,,,,,,,,,14.5049,-0.147899,-6.95974,1.30555,15.0511,149.676,307.782,-170.853,392.729,386.933,386.933,386.933,75.1396,-60.0289,75.389,249.063,76.8594,364.855,81.4992,81.4992,81.4992,-10.9847,12.1565,96.4052,438.146,-87.574,1134.65,185.434,185.434,185.434,13.6386,0,0,14.7817,-3.68721,22.4521,,,,,,,,,,-0.722488,-6.20427,78.9518,559.87,-58.1382,782.624,351.176,351.176,351.176,50.8446,-79.3773,66.5601,644.624,-20.1884,368.71,246.616,246.616,246.616,-87.2404,-9.02058,-14.9669,,,,,,,16.9684,-6.76942,-17.5674,,,,,,,,,,20.7782,-2.36713,-27.48,,,,,,,,,,,,,14.5049,0.147899,6.95974,-17.9012,5.04262,50.7019,581.652,-183.783,389.948,394.862,394.862,394.862,50.8446,-79.3773,66.5601,665.854,59.1361,364.887,82.2055,82.2055,82.2055
7,0,6.79546,0,0,10.62,-10.4804,50.0553,,,,,,,,,,1.83936,1.29385,105.384,334.282,-97.4352,789.06,348.431,348.431,348.431,75.1266,-60.0331,75.4114,262.574,-3.40554,368.955,244.497,244.497,244.497,-87.051,-2.69307,-9.5487,,,,,,,14.7249,-0.325079,-8.6303,,,,,,,,,,9.69514,-4.57215,-45.1015,,,,,,,,,,,,,14.5079,-0.146993,-6.95187,1.31392,15.0447,149.673,307.786,-170.844,392.75,386.921,386.921,386.921,75.1266,-60.0331,75.4114,249.054,76.858,364.82,81.4992,81.4992,81.4992,-10.9868,12.1588,96.397,438.207,-87.6001,1134.67,185.434,185.434,185.434,13.6345,0,0,14.7777,-3.68795,22.4567,,,,,,,,,,-0.717025,-6.19883,78.9476,559.89,-58.1736,782.639,351.177,351.177,351.177,50.8477,-79.3749,66.5563,644.628,-20.188,368.709,246.616,246.616,246.616,-87.2409,-9.01594,-14.967,,,,,,,16.9736,-6.76153,-17.5638,,,,,,,,,,20.7725,-2.37206,-27.4816,,,,,,,,,,,,,14.5079,0.146993,6.95187,-17.8953,5.04157,50.6984,581.657,-183.783,389.947,394.866,394.866,394.866,50.8477,-79.3749,66.5563,665.859,59.1366,364.886,82.2055,82.2055,82.2055
8,0,6.77614,0,0,10.5888,-10.4793,50.0521,,,,,,,,,,1.83942,1.29997,105.376,334.325,-97.474,789.075,348.436,348.436,348.435,75.1133,-60.0375,75.4344,262.571,-3.4048,368.936,244.497,244.497,244.497,-87.0391,-2.67231,-9.55318,,,,,,,14.7239,-0.329644,-8.63084,,,,,,,,,,9.68498,-4.57014,-45.1058,,,,,,,,,,,,,14.5107,-0.146003,-6.94356,1.3229,15.038,149.671,307.791,-170.836,392.771,386.909,386.909,386.909,75.1133,-60.0375,75.4343,249.045,76.8568,364.785,81.4991,81.4992,81.4991,-10.9888,12.1608,96.3884,438.271,-87.6278,1134.69,185.434,185.434,185.434,13.6301,0,0,14.7733,-3.68853,22.4604,,,,,,,,,,-0.711258,-6.19277,78.943,559.91,-58.2123,782.655,351.179,351.179,351.179,50.851,-79.3724,66.5521,644.632,-20.1883,368.708,246.616,246.616,246.616,-87.2415,-9.01098,-14.9671,,,,,,,16.9785,-6.75294,-17.5603,,,,,,,,,,20.7661,-2.37762,-27.482,,,,,,,,,,,,,14.5107,0.146003,6.94356,-17.8891,5.04053,50.6959,581.662,-183.783,389.946,394.87,394.87,394.871,50.851,-79.3724,66.5521,665.863,59.1363,364.886,82.2055,82.2055,82.2055
9,0,6.75635,0,0,10.557,-10.4782,50.0491,,,,,,,,,,1.8394,1.30635,105.368,334.37,-97.5151,789.09,348.441,348.441,348.441,75.0999,-60.0421,75.4576,262.569,-3.40376,368.917,244.497,244.497,244.497,-87.0272,-2.6512,-9.55768,,,,,,,14.7225,-0.334302,-8.63166,,,,,,,,,,9.67418,-4.56818,-45.1104,,,,,,,,,,,,,14.5134,-0.144872,-6.93491,1.33245,15.0308,149.669,307.797,-170.827,392.792,386.897,386.897,386.897,75.0999,-60.0421,75.4576,249.036,76.8559,364.749,81.4992,81.4992,81.4992,-10.9905,12.1628,96.3795,438.338,-87.657,1134.71,185.434,185.434,185.434,13.6254,0,0,14.7685,-3.68891,22.4628,,,,,,,,,,-0.705225,-6.18607,78.9379,559.929,-58.2542,782.672,351.181,351.181,351.181,50.8545,-79.3698,66.5475,644.637,-20.1896,368.707,246.616,246.616,246.616,-87.2421,-9.00568,-14.9673,,,,,,,16.9831,-6.74376,-17.5569,,,,,,,,,,20.7591,-2.3838,-27.4809,,,,,,,,,,,,,14.5134,0.144872,6.93491,-17.8825,5.03953,50.6946,581.667,-183.785,389.944,394.875,394.875,394.875,50.8545,-79.3698,66.5475,665.868,59.1349,364.885,82.2055,82.2055,82.2055
