Model Outputs,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,
,,Id_5:LPelvisAngles_M,,,Id_5:LHipAngles_M,,,Id_5:LKneeAngles_M,,,Id_5:LAnkleAngles_M,,,Id_5:RPelvisAngles_M,,,Id_5:RHipAngles_M,,,Id_5:RKneeAngles_M,,,Id_5:RAnkleAngles_M,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,6.56698,-0.653418,-4.31961,27.9478,6.05833,-10.114,24.9709,-6.37286,-5.42277,5.82083,-3.97189,17.4713,6.56698,0.653418,4.31961,6.80234,-5.8281,-16.8916,80.9407,-9.26035,-3.22495,-15.4561,-2.01687,6.91256
2,0,6.83307,-0.425829,-4.42743,28.3318,6.3886,-10.021,26.2635,-6.51604,-4.5848,6.67619,-3.6919,16.2227,6.83307,0.425829,4.42743,7.9449,-6.30811,-16.824,82.2465,-9.16979,-3.08483,-15.0012,-1.99325,6.82686
3,0,7.12996,-0.147954,-4.55459,28.7236,6.78153,-9.98168,27.6605,-6.68692,-3.73561,7.6279,-3.41563,14.9747,7.12996,0.147954,4.55459,9.27,-6.87868,-16.7342,83.7094,-9.06737,-2.92763,-14.4872,-1.97115,6.74663
4,0,7.45351,0.1811,-4.70047,29.105,7.23517,-10.0207,29.1225,-6.89163,-2.91371,8.66153,-3.15717,13.7935,7.45351,-0.1811,4.70047,10.7722,-7.53836,-16.6134,85.3054,-8.95295,-2.75644,-13.9223,-1.9521,6.67747
5,0,7.79875,0.558083,-4.86356,29.4528,7.74208,-10.1449,30.6014,-7.12826,-2.15869,9.75849,-2.92749,12.7334,7.79875,-0.558083,4.86356,12.4417,-8.28056,-16.456,87.004,-8.82891,-2.57447,-13.3152,-1.93753,6.62457
6,0,8.16022,0.976876,-5.04156,29.7443,8.29084,-10.3721,32.0487,-7.40195,-1.49859,10.9024,-2.73716,11.848,8.16022,-0.976876,5.04156,14.2642,-9.09345,-16.2568,88.7698,-8.69877,-2.38533,-12.6747,-1.92842,6.59146
7,0,8.53228,1.42686,-5.23161,29.9555,8.8645,-10.7064,33.4166,-7.71237,-0.94167,12.0752,-2.59059,11.1621,8.53228,-1.42686,5.23161,16.2227,-9.95909,-16.008,90.565,-8.56101,-2.19498,-12.0102,-1.92551,6.58091
8,0,8.90814,1.89409,-5.43068,30.0633,9.44349,-11.1435,34.6623,-8.05768,-0.482288,13.2611,-2.48837,10.6818,8.90814,-1.89409,5.43068,18.2963,-10.8542,-15.7078,92.3506,-8.41677,-2.00995,-11.3298,-1.92888,6.59315
9,0,9.28169,2.36329,-5.6341,30.0477,10.0069,-11.6717,35.7498,-8.43276,-0.102564,14.4446,-2.42741,10.3946,9.28169,-2.36329,5.6341,20.4627,-11.7528,-15.3536,94.0874,-8.26384,-1.83349,-10.6406,-1.9373,6.62371
10,0,9.64416,2.81811,-5.83575,29.8908,10.5333,-12.2748,36.6525,-8.83049,0.225462,15.6115,-2.4018,10.2738,9.64416,-2.81811,5.83575,22.696,-12.6255,-14.946,95.7388,-8.10019,-1.66896,-9.947,-1.94888,6.66578
11,0,9.98849,3.24258,-6.02894,29.5804,11.0024,-12.9289,37.3538,-9.23894,0.529577,16.7529,-2.40408,10.2845,9.98849,-3.24258,6.02894,24.97,-13.4436,-14.4911,97.2697,-7.92479,-1.5149,-9.25236,-1.96043,6.70772
12,0,10.3063,3.62415,-6.20569,29.1083,11.3986,-13.6118,37.845,-9.6457,0.830027,17.8574,-2.42785,10.3967,10.3063,-3.62415,6.20569,27.2575,-14.181,-13.9937,98.6492,-7.73382,-1.36827,-8.55927,-1.96804,6.73534
13,0,10.59,3.9514,-6.35756,28.4714,11.7083,-14.2985,38.1262,-10.0356,1.13798,18.917,-2.46736,10.5829,10.59,-3.9514,6.35756,29.5317,-14.8145,-13.4646,99.85,-7.52641,-1.22498,-7.87109,-1.96784,6.7346
14,0,10.8335,4.21761,-6.47683,27.6725,11.9242,-14.9689,38.2034,-10.3949,1.45086,19.9239,-2.51947,10.8281,10.8335,-4.21761,6.47683,31.7672,-15.3269,-12.9152,100.849,-7.30121,-1.07762,-7.19017,-1.95506,6.6882
15,0,11.0318,4.41922,-6.5568,26.7183,12.0432,-15.6016,38.0874,-10.7083,1.75941,20.8694,-2.58129,11.1185,11.0318,-4.41922,6.5568,33.9424,-15.7067,-12.3604,101.629,-7.06067,-0.923449,-6.51897,-1.92651,6.58453
16,0,11.1839,4.55431,-6.59238,25.6214,12.0656,-16.1807,37.7932,-10.9633,2.04666,21.7458,-2.65175,11.4488,11.1839,-4.55431,6.59238,36.0399,-15.947,-11.8152,102.179,-6.80709,-0.766278,-5.86152,-1.88088,6.41871
17,0,11.2899,4.62449,-6.58025,24.3968,11.9965,-16.6912,37.3367,-11.1491,2.29036,22.5441,-2.73041,11.8165,11.2899,-4.62449,6.58025,38.0442,-16.0462,-11.2876,102.489,-6.53774,-0.61189,-5.22105,-1.81844,6.19162
18,0,11.3528,4.63122,-6.51876,23.0625,11.8423,-17.1205,36.7356,-11.2581,2.46659,23.2552,-2.81731,12.2216,11.3528,-4.63122,6.51876,39.9468,-16.0054,-10.7989,102.558,-6.26428,-0.477613,-4.60085,-1.74183,5.91277
19,0,11.3788,4.57771,-6.40762,21.638,11.6115,-17.4589,36.0064,-11.285,2.55233,23.8694,-2.9128,12.6653,11.3788,-4.57771,6.40762,41.7409,-15.8286,-10.3539,102.382,-5.98521,-0.380606,-4.00447,-1.65543,5.59787
20,0,11.3746,4.46743,-6.24684,20.1417,11.3133,-17.7001,35.1644,-11.2288,2.5314,24.3765,-3.01635,13.1447,11.3746,-4.46743,6.24684,43.4236,-15.5205,-9.96709,101.965,-5.71161,-0.348601,-3.43417,-1.56601,5.27161
21,0,11.3477,4.30423,-6.03743,18.5903,10.9564,-17.8417,34.2216,-11.0904,2.38486,24.765,-3.12939,13.6658,11.3477,-4.30423,6.03743,44.9921,-15.0872,-9.64474,101.309,-5.44884,-0.40625,-2.89319,-1.48066,4.95987
22,0,11.3062,4.09177,-5.78075,16.9977,10.5491,-17.884,33.1877,-10.8736,2.10839,25.0228,-3.25121,14.2247,11.3062,-4.09177,5.78075,46.4444,-14.5347,-9.38895,100.417,-5.20063,-0.570413,-2.38233,-1.4053,4.68438
23,0,11.2575,3.83502,-5.4781,15.3754,10.0998,-17.8336,32.07,-10.5849,1.6994,25.1374,-3.38238,14.8234,11.2575,-3.83502,5.4781,47.7799,-13.8708,-9.20892,99.2918,-4.98142,-0.859414,-1.90286,-1.34646,4.4691
24,0,11.2072,3.53801,-5.13106,13.7313,9.61534,-17.6996,30.8743,-10.2326,1.16212,25.0957,-3.52314,15.4622,11.2072,-3.53801,5.13106,48.9973,-13.1022,-9.10548,97.9401,-4.79912,-1.28476,-1.45406,-1.30992,4.33538
25,0,11.161,3.20595,-4.74074,12.0719,9.10328,-17.4908,29.6049,-9.82446,0.505284,24.8846,-3.67301,16.1379,11.161,-3.20595,4.74074,50.0946,-12.237,-9.07738,96.3652,-4.66167,-1.8391,-1.03574,-1.29741,4.28956
26,0,11.1216,2.8435,-4.30882,10.4015,8.56994,-17.2204,28.2664,-9.37024,-0.26515,24.4914,-3.83347,16.8561,11.1216,-2.8435,4.30882,51.0676,-11.2834,-9.12774,94.5711,-4.582,-2.50939,-0.645127,-1.30972,4.33464
27,0,11.0907,2.4562,-3.83793,8.72381,8.0227,-16.9014,26.8656,-8.88115,-1.13659,23.9062,-4.00475,17.6167,11.0907,-2.4562,3.83793,51.9134,-10.2506,-9.24388,92.5643,-4.55876,-3.27423,-0.278514,-1.34632,4.4686
28,0,11.0685,2.04829,-3.3307,7.0421,7.46698,-16.5465,25.4096,-8.3673,-2.10114,23.1191,-4.18856,18.4256,11.0685,-2.04829,3.3307,52.6291,-9.14728,-9.43196,90.3521,-4.60862,-4.11078,0.0679623,-1.40638,4.68833
