percent;lankleangx;lankleangx_sd;lankleangy;lankleangy_sd;lankleangz;lankleangz_sd;lhipangx;lhipangx_sd;lhipangy;lhipangy_sd;lhipangz;lhipangz_sd;lkneeangx;lkneeangx_sd;lkneeangy;lkneeangy_sd;lkneeangz;lkneeangz_sd
0;0.285013392;3.963570888;13.15540252;3.686316022;2.343311021;7.230163805;3.814501242;2.753855389;1.283873923;5.758483233;32.84309646;4.912994862;2.374550519;2.996116035;-18.60615564;6.879630034;10.65574357;5.029349753
1;-0.430349361;3.955214838;12.87430756;3.687160663;1.761069593;6.822108516;3.957396762;2.796883447;1.823950961;5.568586673;32.48552881;4.908011687;2.623459452;3.04332083;-18.82316864;6.827705672;11.90332643;4.852194579
2;-1.575812039;3.843699769;12.3872835;3.712106294;1.178679554;6.075594581;4.145182586;2.829464094;2.363516221;5.35530614;32.17749269;4.898722363;2.966779435;3.092405672;-18.79971722;6.725771284;13.60437164;4.73480016
3;-3.100001088;3.601696851;11.62492184;3.728423796;0.806719272;5.046278386;4.378881217;2.846575204;2.839553803;5.143544223;31.92725318;4.883686716;3.392184235;3.140941744;-18.42444953;6.569947659;15.71220386;4.678478689
4;-4.866652567;3.257569369;10.56779384;3.713354876;0.84672745;3.907865098;4.656886075;2.846654908;3.208831979;4.964813037;31.7473464;4.863007156;3.87323075;3.191660989;-17.65785326;6.37721138;18.18112339;4.671370509
5;-6.698587343;2.898614161;9.28499149;3.673418012;1.399728873;2.944850418;4.977994305;2.834747543;3.451484059;4.853289253;31.64754275;4.839301334;4.364126843;3.253075048;-16.56245248;6.183689623;20.9569213;4.689649108
6;-8.419626789;2.622603511;7.927469151;3.639618063;2.445892925;2.436231754;5.344475986;2.823218222;3.567044417;4.837319091;31.6260643;4.819734999;4.804524179;3.336115697;-15.28896513;6.026038321;23.96372843;4.706248558
7;-9.879071065;2.477620887;6.66530029;3.641597766;3.886355035;2.388623846;5.761622033;2.826273641;3.562362513;4.921101336;31.66357143;4.816220427;5.134141807;3.444948797;-14.00618157;5.917772508;27.09498916;4.704069329
8;-10.97479354;2.449376839;5.611199153;3.683278325;5.593350756;2.54047843;6.230107392;2.851050997;3.441777251;5.069739693;31.72274985;4.83946454;5.309822972;3.570361825;-12.82292106;5.841762409;30.21729292;4.67969593
9;-11.67766351;2.494987747;4.789017707;3.741790052;7.442157473;2.699110732;6.735879983;2.890940094;3.209028006;5.219912425;31.75243943;4.890689355;5.318547621;3.692364213;-11.76376225;5.765945998;33.18700014;4.636780903
10;-12.03475307;2.577173476;4.157445756;3.789410413;9.32661174;2.806788859;7.240443778;2.931064449;2.882682902;5.310220867;31.70194987;4.954797602;5.182964577;3.787491298;-10.80241242;5.670423036;35.87237883;4.580741453
