Frame,Sub Frame,RF,BF,MG,LG,AT
1,0,0.00110626,0.00621796,0.0482941,0.0630188,0.0455093
1,1,-0.00141144,0.00190735,0.0514603,0.0650024,0.046463
1,2,-0.00347137,-0.00286102,0.0484467,0.0641632,0.158195
1,3,-0.00431061,-0.00247955,0.0542068,0.0593948,0.123711
1,4,-0.00102997,0.00106812,0.0566864,0.0611877,0.0537109
2,0,-0.00198364,-0.000801086,0.0576782,0.0635147,-0.0205612
2,1,-0.00038147,0,0.0593185,0.0629044,0.0295639
2,2,-0.00148773,0.000953674,0.0579834,0.0654221,0.0541306
2,3,-0.00152588,-0.000686646,0.0613403,0.0643921,-0.0138474
2,4,-0.00389099,0.000457764,0.0637054,0.0640488,0.0360489
3,0,-0.00289917,-0.00320435,0.060463,0.0650787,0.100327
3,1,-0.00164032,-0.0025177,0.0603867,0.0654221,0.122223
3,2,0.00179291,0.00358582,0.0615311,0.0688171,0.11261
3,3,0.000457764,-0.00164032,0.0630951,0.0701141,0.103874
3,4,-0.00282288,-0.00118256,0.0590134,0.0662231,0.086937
4,0,-0.00202179,-0.00102997,0.0541687,0.0663757,0.0643539
4,1,-0.00328064,-0.00354767,0.0554276,0.0645828,0.0530243
4,2,0.00137329,-0.000762939,0.055275,0.0680542,0.0683594
4,3,0.00549316,-0.001297,0.0582123,0.0652695,0.0510025
4,4,0.00926971,-0.00377655,0.057373,0.0650406,0.0499344
5,0,0.00370026,0.0025177,0.0546265,0.0614929,-0.0325775
5,1,-0.00404358,0.000801086,0.0519943,0.0582123,0.0030899
5,2,-0.00736237,-0.00400543,0.0519562,0.0572205,0.0466919
5,3,-0.00434875,-0.00377655,0.0536728,0.0588608,0.0378418
5,4,-0.00198364,0.00366211,0.0585556,0.0634003,0.064621
6,0,-0.000839233,0.00492096,0.0601578,0.0688553,0.0935745
6,1,-0.00423431,0.00274658,0.0609589,0.0642776,0.135803
6,2,-0.00152588,0.00038147,0.0621414,0.0647354,0.164413
6,3,-0.0037384,0.00144958,0.0626373,0.0637817,0.138283
6,4,0.000152588,-0.000801086,0.0580597,0.0626373,0.108643
7,0,0.00591278,-0.00190735,0.0543976,0.0605011,0.092926
7,1,0.00400543,-3.81E-05,0.0571442,0.0658417,0.0724792
7,2,0.00598907,0.00366211,0.0621033,0.0701904,-0.00335693
7,3,0.0123596,0.00553131,0.0611496,0.0704193,-0.114822
7,4,0.0204849,-0.000343323,0.0561142,0.0656509,-0.0275421
8,0,0.0239182,-0.00263214,0.0508881,0.0649261,0.0334549
8,1,0.0194168,-0.00286102,0.0529099,0.0644684,-0.00278473
8,2,-0.00461578,-0.000495911,0.0547409,0.067482,0.0345993
8,3,-0.0120163,0.000152588,0.0527954,0.0637817,0.0958633
8,4,-0.00484467,0.00595093,0.054245,0.0635147,0.10807
9,0,0.00705719,0.00774384,0.0559998,0.0654602,0.127296
9,1,0.00305176,0.0018692,0.0538635,0.0611877,0.143852
9,2,0.0157928,0.000152588,0.047493,0.0572205,0.160904
9,3,0.0102615,-0.00400543,0.0460434,0.0580978,0.128937
9,4,0.000839233,-0.000953674,0.0503159,0.0598145,0.0568771
10,0,-0.00541687,0.00606537,0.0561523,0.065918,0.0696182
10,1,-0.00652313,0.00297546,0.0585556,0.0662231,0.0551224
10,2,-0.00617981,-0.00160217,0.0557327,0.0646973,0.0371552
10,3,-0.00839233,-0.00370026,0.0598907,0.0654602,0.141258
10,4,-0.0139999,-0.00442505,0.0659561,0.069046,0.18158
11,0,-0.0257111,-0.00469208,0.072403,0.0708008,0.252838
11,1,-0.0295258,0.00217438,0.0730133,0.0733185,0.165749
11,2,-0.00812531,0.00110626,0.0723648,0.0729752,-0.10601
11,3,0.0134277,0.00583649,0.0643539,0.0679016,-0.0590134
11,4,0.00469208,0.00247955,0.0576019,0.0636673,-0.014267
12,0,-0.00614166,-0.00225067,0.0542831,0.060463,0.00133514
12,1,-0.00301361,-0.00148773,0.0543976,0.0626373,0.01194
12,2,0.00141144,-0.00461578,0.0554276,0.0576019,0.0184631
12,3,0.00717163,-0.00297546,0.0497437,0.0561905,0.0355148
12,4,0.0101852,0.0019455,0.0470352,0.0593185,0.0563812
13,0,0.0157166,0.00743866,0.0476837,0.0601578,0.067215
13,1,0.0113678,0.00423431,0.0485992,0.0598907,0.0480652
13,2,-0.000953674,0.000495911,0.0479889,0.0569534,0.034256
13,3,-0.00717163,0.00225067,0.0469208,0.0566864,0.054512
13,4,-0.0019455,0.00343323,0.0481796,0.0570679,0.0619888
14,0,-0.00854492,0.00274658,0.0529099,0.0597,0.0605011
14,1,-0.0117493,0.00293732,0.0521088,0.0599289,0.0948715
14,2,-0.0125504,-0.000953674,0.0518036,0.0604248,0.143013
14,3,-0.0164413,-0.00431061,0.052948,0.060997,0.134697
14,4,-0.0246429,-0.00686646,0.0543976,0.0623322,0.113983
15,0,-0.0257492,-0.0149155,0.0558853,0.0640106,0.107613
15,1,-0.0153351,-0.013504,0.0596619,0.0682831,0.104752
15,2,3.81E-05,-0.00720978,0.0683975,0.0747681,0.0742722
15,3,0.0137329,-0.00385284,0.0708008,0.0792313,-0.0530243
