Frame;Sub Frame;TA_D;FIB_D;GM_D;GL_D;SOL_D;TA_I;FIB_I;GM_I;GLI;SOL_I
1;0;-0.00495911;-0.00392914;0.0944138;0.0621414;0.0165939;0.0609589;0.0694275;0.0646591;0.100975;0.0891495
1;1;-0.00865936;-0.00701904;0.0461197;0.0617599;-0.00476837;0.0592041;0.0683975;0.0668716;0.101852;0.088501
1;2;-0.00587463;-0.00411987;0.0338745;0.0660706;0.00679016;0.0647736;0.0692368;0.068779;0.0997543;0.0889969
1;3;-0.00450134;-0.00892639;0.0151825;0.0638199;0.0301361;0.0680161;0.0769806;0.0679398;0.0998306;0.089035
1;4;-0.0025177;-0.00534058;-0.128174;0.0709915;0.0817108;0.0681686;0.0728607;0.0689316;0.100403;0.0870132
1;5;-0.00183105;0.00267029;-0.0347137;0.0849152;0.150375;0.0684357;0.0774002;0.0713348;0.10006;0.0818634
1;6;-0.0056076;-0.00240326;0.017395;0.0886536;0.183296;0.0695038;0.0718307;0.0727844;0.0985718;0.0801086
1;7;3.81E-05;-0.00370026;0.0992584;0.0854492;0.159073;0.0708771;0.0705338;0.0748444;0.102959;0.0809479
1;8;-0.00087738;0.00328064;0.137672;0.0781631;0.16983;0.0705338;0.0732422;0.074501;0.100441;0.0818634
1;9;-0.000762939;-0.00404358;0.148087;0.067215;0.149422;0.0700378;0.0745773;0.0782776;0.0961685;0.0789261
2;0;-0.00148773;-0.00591278;0.111504;0.0671768;0.0869751;0.0691223;0.078125;0.0764465;0.096817;0.0793076
2;1;-0.0037384;-0.000267029;0.0814819;0.067749;0.0250626;0.071106;0.0793839;0.0734329;0.09552;0.0801086
2;2;-0.00495911;-0.00526428;0.0249863;0.0696564;-0.000610352;0.0715256;0.08255;0.0742722;0.099678;0.0813293
2;3;-0.00160217;-0.00743866;7.63E-05;0.0717163;-0.00988007;0.0722122;0.0827026;0.072937;0.101547;0.0795746
2;4;-0.00106812;0.000991821;0.00526428;0.0786591;-0.00324249;0.0793076;0.0793839;0.0736237;0.104218;0.0858307
2;5;0.00431061;0.00411987;0.0450134;0.089035;0.0233841;0.0801468;0.0738525;0.0725174;0.103111;0.0882721
2;6;0.00297546;0.00534058;-0.00629425;0.069046;0.0614166;0.0862122;0.0753784;0.0690842;0.105782;0.0875092
