Frame;Sub Frame;LAX;LAY;LAZ;LHX;LHY;LHZ;LKX;LKY;LKZ;RAX;RAY;RAZ;RHX;RHY;RHZ;RKX;RKY;RKZ
2;0;3.89638;-7.57047;23.8632;27.9921;1.32177;-15.8096;35.5271;-7.29971;-27.1201;8.33089;-4.83806;17.5742;-0.148957;4.85727;-12.4772;4.67804;-1.51795;-9.62703
3;0;2.75174;-7.37808;23.3438;28.025;1.27241;-16.0369;32.4257;-6.89041;-25.9348;8.70954;-4.86015;17.6481;-0.428188;4.98031;-12.488;4.69123;-1.48822;-9.5762
4;0;1.73281;-7.30515;23.1458;28.0622;1.2307;-16.2181;29.3814;-6.47671;-24.9921;9.086;-4.87671;17.7035;-0.708962;5.09578;-12.4947;4.71782;-1.4577;-9.51851
5;0;0.830266;-7.35592;23.2837;28.1045;1.19737;-16.3569;26.3944;-6.06898;-24.306;9.46031;-4.88832;17.7422;-0.991215;5.20302;-12.4971;4.75795;-1.42699;-9.45535
6;0;0.0436496;-7.52911;23.7519;28.1523;1.17177;-16.4553;23.4697;-5.67525;-23.8739;9.83285;-4.89491;17.7642;-1.27492;5.30274;-12.4947;4.81155;-1.39666;-9.38568
7;0;-0.622526;-7.81989;24.53;28.2066;1.15542;-16.5131;20.6193;-5.30295;-23.6854;10.2037;-4.89684;17.7707;-1.56;5.39355;-12.4887;4.87834;-1.36697;-9.3081
8;0;-1.15622;-8.21617;25.5742;28.2679;1.14813;-16.5317;17.864;-4.95925;-23.7117;10.5735;-4.89565;17.7667;-1.84701;5.47549;-12.4775;4.95817;-1.33854;-9.22489
9;0;-1.54599;-8.69912;26.8212;28.3373;1.15015;-16.5125;15.2317;-4.65025;-23.9148;10.9425;-4.89195;17.7544;-2.13609;5.54764;-12.4594;5.05009;-1.31281;-9.13514
10;0;-1.78277;-9.2426;28.1904;28.4142;1.16131;-16.4586;12.7569;-4.38074;-24.2454;11.3121;-4.88705;17.738;-2.42822;5.60892;-12.4361;5.15429;-1.2906;-9.03748
11;0;-1.86647;-9.81312;29.5887;28.4989;1.18138;-16.3747;10.478;-4.15443;-24.6491;11.6819;-4.88195;17.721;-2.72388;5.65817;-12.4039;5.26899;-1.27258;-8.93359
