Frame,Sub Frame,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
1,0,0,0,0,0,0,0,0,-2.12E-05,-1.60E-05,-8.52E-06,-1.20E-05,-6.45E-06,0,0,0,0
1,1,0,0,0,0,0,0,0,-2.00E-05,-1.48E-05,-7.96E-06,-1.26E-05,-7.35E-06,0,0,0,0
1,2,0,0,0,0,0,0,0,-1.97E-05,-1.43E-05,-7.26E-06,-1.28E-05,-7.73E-06,0,0,0,0
1,3,0,0,0,0,0,0,0,-1.95E-05,-1.41E-05,-7.03E-06,-1.21E-05,-7.54E-06,0,0,0,0
1,4,0,0,0,0,0,0,0,-1.81E-05,-1.40E-05,-7.68E-06,-1.17E-05,-7.03E-06,0,0,0,0
1,5,0,0,0,0,0,0,0,-1.65E-05,-1.35E-05,-8.96E-06,-1.21E-05,-6.85E-06,0,0,0,0
1,6,0,0,0,0,0,0,0,-1.64E-05,-1.20E-05,-9.98E-06,-1.22E-05,-7.29E-06,0,0,0,0
1,7,0,0,0,0,0,0,0,-1.80E-05,-1.02E-05,-9.70E-06,-1.18E-05,-7.25E-06,0,0,0,0
1,8,0,0,0,0,0,0,0,-1.97E-05,-9.43E-06,-7.92E-06,-1.18E-05,-5.84E-06,0,0,0,0
1,9,0,0,0,0,0,0,0,-1.90E-05,-9.71E-06,-5.92E-06,-1.26E-05,-4.39E-06,0,0,0,0
1,10,0,0,0,0,0,0,0,-1.60E-05,-1.03E-05,-4.87E-06,-1.37E-05,-4.59E-06,0,0,0,0
1,11,0,0,0,0,0,0,0,-1.66E-05,-1.08E-05,-4.36E-06,-1.41E-05,-5.78E-06,0,0,0,0
1,12,0,0,0,0,0,0,0,-2.13E-05,-1.07E-05,-3.94E-06,-1.32E-05,-6.48E-06,0,0,0,0
1,13,0,0,0,0,0,0,0,-2.35E-05,-9.92E-06,-4.34E-06,-1.15E-05,-6.58E-06,0,0,0,0
1,14,0,0,0,0,0,0,0,-2.05E-05,-9.41E-06,-5.52E-06,-1.01E-05,-6.62E-06,0,0,0,0
1,15,0,0,0,0,0,0,0,-1.71E-05,-1.05E-05,-6.34E-06,-9.69E-06,-6.86E-06,0,0,0,0
1,16,0,0,0,0,0,0,0,-1.62E-05,-1.27E-05,-6.66E-06,-9.61E-06,-7.31E-06,0,0,0,0
1,17,0,0,0,0,0,0,0,-1.61E-05,-1.41E-05,-7.42E-06,-8.79E-06,-7.81E-06,0,0,0,0
1,18,0,0,0,0,0,0,0,-1.60E-05,-1.42E-05,-8.84E-06,-7.53E-06,-7.89E-06,0,0,0,0
1,19,0,0,0,0,0,0,0,-1.62E-05,-1.36E-05,-1.01E-05,-7.08E-06,-7.36E-06,0,0,0,0
2,0,0,0,0,0,0,0,0,-1.55E-05,-1.29E-05,-1.04E-05,-7.92E-06,-6.74E-06,0,0,0,0
2,1,0,0,0,0,0,0,0,-1.50E-05,-1.22E-05,-9.89E-06,-9.38E-06,-6.55E-06,0,0,0,0
2,2,0,0,0,0,0,0,0,-1.67E-05,-1.12E-05,-9.63E-06,-1.05E-05,-6.69E-06,0,0,0,0
2,3,0,0,0,0,0,0,0,-1.81E-05,-1.01E-05,-9.94E-06,-1.09E-05,-6.71E-06,0,0,0,0
2,4,0,0,0,0,0,0,0,-1.74E-05,-1.01E-05,-1.02E-05,-1.06E-05,-6.20E-06,0,0,0,0
2,5,0,0,0,0,0,0,0,-1.59E-05,-1.15E-05,-1.07E-05,-1.01E-05,-5.12E-06,0,0,0,0
2,6,0,0,0,0,0,0,0,-1.46E-05,-1.31E-05,-1.20E-05,-1.06E-05,-3.93E-06,0,0,0,0
2,7,0,0,0,0,0,0,0,-1.49E-05,-1.39E-05,-1.32E-05,-1.22E-05,-3.30E-06,0,0,0,0
2,8,0,0,0,0,0,0,0,-1.78E-05,-1.43E-05,-1.31E-05,-1.37E-05,-3.45E-06,0,0,0,0
2,9,0,0,0,0,0,0,0,-2.10E-05,-1.46E-05,-1.24E-05,-1.44E-05,-4.07E-06,0,0,0,0
2,10,0,0,0,0,0,0,0,-2.26E-05,-1.47E-05,-1.19E-05,-1.43E-05,-5.10E-06,0,0,0,0
2,11,0,0,0,0,0,0,0,-2.40E-05,-1.43E-05,-1.19E-05,-1.38E-05,-6.81E-06,0,0,0,0
2,12,0,0,0,0,0,0,0,-2.53E-05,-1.33E-05,-1.16E-05,-1.34E-05,-8.63E-06,0,0,0,0
2,13,0,0,0,0,0,0,0,-2.59E-05,-1.23E-05,-1.11E-05,-1.36E-05,-9.28E-06,0,0,0,0
