X [s],Quattro sensor 9: EMG.A 9 [V],X [s],Quattro sensor 9: EMG.B 9 [V],X [s],Quattro sensor 9: EMG.C 9 [V],X [s],Quattro sensor 9: EMG.D 9 [V],X [s],Quattro sensor 9: ACC.X 9 [g],X [s],Quattro sensor 9: ACC.Y 9 [g],X [s],Quattro sensor 9: ACC.Z 9 [g],X [s],Quattro sensor 9: GYRO.X 9 [�/,X [s],Quattro sensor 9: GYRO.Y 9 [�/,X [s],Quattro sensor 9: GYRO.Z 9 [�/
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001038462,0,0.001038462,0,0.001038462,0,0.001038462,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0
0.002076923,0,0.002076923,0,0.002076923,0,0.002076923,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0
0.003115385,0,0.003115385,0,0.003115385,0,0.003115385,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0
0.004153846,0,0.004153846,0,0.004153846,0,0.004153846,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0
0.005192308,0,0.005192308,0,0.005192308,0,0.005192308,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0
0.006230769,0,0.006230769,0,0.006230769,0,0.006230769,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0
0.007269231,0,0.007269231,0,0.007269231,0,0.007269231,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0
0.008307692,0,0.008307692,0,0.008307692,0,0.008307692,0,0.054,0,0.054,0,0.054,0,0.054,0,0.054,0,0.054,0
0.009346154,0,0.009346154,0,0.009346154,0,0.009346154,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0
0.010384615,0,0.010384615,0,0.010384615,0,0.010384615,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0
0.011423077,0,0.011423077,0,0.011423077,0,0.011423077,0,0.07425,0,0.07425,0,0.07425,0,0.07425,0,0.07425,0,0.07425,0
0.012461538,0,0.012461538,0,0.012461538,0,0.012461538,0,0.081,0,0.081,0,0.081,0,0.081,0,0.081,0,0.081,0
0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.08775,0,0.08775,0,0.08775,0,0.08775,0,0.08775,0,0.08775,0
0.014538462,0,0.014538462,0,0.014538462,0,0.014538462,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0
0.015576923,0,0.015576923,0,0.015576923,0,0.015576923,0,0.10125,0,0.10125,0,0.10125,0,0.10125,0,0.10125,0,0.10125,0
0.016615385,0,0.016615385,0,0.016615385,0,0.016615385,0,0.108,0.265625,0.108,-0.921875,0.108,0.28125,0.108,15.63358784,0.108,9.282443047,0.108,1.95419848
0.017653846,0,0.017653846,0,0.017653846,0,0.017653846,0,0.11475,0.25,0.11475,-0.890625,0.11475,0.234375,0.11475,14.65648842,0.11475,10.25954151,0.11475,2.44274807
0.018692308,0,0.018692308,0,0.018692308,0,0.018692308,0,0.1215,0.28125,0.1215,-0.953125,0.1215,0.25,0.1215,15.1450386,0.1215,9.770992279,0.1215,1.95419848
0.019730769,0,0.019730769,0,0.019730769,0,0.019730769,0,0.12825,0.28125,0.12825,-0.921875,0.12825,0.421875,0.12825,17.09923744,0.12825,9.770992279,0.12825,3.41984725
0.020769231,0,0.020769231,0,0.020769231,0,0.020769231,0,0.135,0.1875,0.135,-0.859375,0.135,0.359375,0.135,14.65648842,0.135,10.25954151,0.135,4.39694643
0.021807692,0,0.021807692,0,0.021807692,0,0.021807692,0,0.14175,0.25,0.14175,-0.953125,0.14175,0.15625,0.14175,13.679389,0.14175,9.770992279,0.14175,1.95419848
0.022846154,0,0.022846154,0,0.022846154,0,0.022846154,0,0.1485,0.3125,0.1485,-0.96875,0.1485,0.203125,0.1485,14.16793919,0.1485,9.282443047,0.1485,1.46564889
0.023884615,0,0.023884615,0,0.023884615,0,0.023884615,0,0.15525,0.203125,0.15525,-0.953125,0.15525,0.21875,0.15525,14.16793919,0.15525,9.770992279,0.15525,3.41984725
0.024923077,0,0.024923077,0,0.024923077,0,0.024923077,0,0.162,0.203125,0.162,-0.953125,0.162,0.265625,0.162,14.65648842,0.162,8.79389286,0.162,1.95419848
0.025961538,0,0.025961538,0,0.025961538,0,0.025961538,0,0.16875,0.171875,0.16875,-0.921875,0.16875,0.296875,0.16875,13.679389,0.16875,8.305343628,0.16875,1.46564889
0.027,0,0.027,0,0.027,0,0.027,0,0.1755,0.171875,0.1755,-0.96875,0.1755,0.21875,0.1755,11.72519112,0.1755,7.328244209,0.1755,-0.97709924
0.028038462,0,0.028038462,0,0.028038462,0,0.028038462,0,0.18225,0.21875,0.18225,-0.953125,0.18225,0.234375,0.18225,11.72519112,0.18225,5.862595558,0.18225,-3.41984725
0.029076923,0,0.029076923,0,0.029076923,0,0.029076923,0,0.189,0.1875,0.189,-0.890625,0.189,0.390625,0.189,13.19083977,0.189,4.39694643,0.189,-3.41984725
0.030115385,0,0.030115385,0,0.030115385,0,0.030115385,0,0.19575,0.140625,0.19575,-0.859375,0.19575,0.265625,0.19575,12.70229053,0.19575,3.908396959,0.19575,-3.908396959
0.031153846,0,0.031153846,0,0.031153846,0,0.031153846,0,0.2025,0.25,0.2025,-0.921875,0.2025,0.1875,0.2025,10.7480917,0.2025,2.931297779,0.2025,-7.328244209
0.032192308,0,0.032192308,0,0.032192308,0,0.032192308,0,0.20925,0.3125,0.20925,-0.921875,0.20925,0.21875,0.20925,10.7480917,0.20925,3.41984725,0.20925,-5.862595558
0.033230769,0,0.033230769,0,0.033230769,0,0.033230769,0,0.216,0.265625,0.216,-0.890625,0.216,0.234375,0.216,10.25954151,0.216,3.908396959,0.216,-3.41984725
0.034269231,0,0.034269231,0,0.034269231,0,0.034269231,0,0.22275,0.296875,0.22275,-0.921875,0.22275,0.3125,0.22275,11.23664093,0.22275,3.908396959,0.22275,-3.41984725
0.035307692,0,0.035307692,0,0.035307692,0,0.035307692,0,0.2295,0.265625,0.2295,-0.84375,0.2295,0.34375,0.2295,10.25954151,0.2295,6.351145267,0.2295,-1.95419848
0.036346154,0,0.036346154,0,0.036346154,0,0.036346154,0,0.23625,0.25,0.23625,-0.921875,0.23625,0.1875,0.23625,7.816793919,0.23625,7.328244209,0.23625,-2.44274807
0.037384615,0,0.037384615,0,0.037384615,0,0.037384615,0,0.243,0.328125,0.243,-0.953125,0.243,0.234375,0.243,8.79389286,0.243,7.328244209,0.243,-1.46564889
0.038423077,0,0.038423077,0,0.038423077,0,0.038423077,0,0.24975,0.265625,0.24975,-0.875,0.24975,0.375,0.24975,9.770992279,0.24975,7.816793919,0.24975,0
0.039461538,0,0.039461538,0,0.039461538,0,0.039461538,0,0.2565,0.234375,0.2565,-0.890625,0.2565,0.25,0.2565,8.79389286,0.2565,8.305343628,0.2565,2.44274807
0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.26325,0.28125,0.26325,-0.96875,0.26325,0.1875,0.26325,7.328244209,0.26325,9.282443047,0.26325,-2.44274807
0.041538462,0,0.041538462,0,0.041538462,0,0.041538462,0,0.27,0.25,0.27,-0.921875,0.27,0.25,0.27,7.816793919,0.27,9.282443047,0.27,-0.97709924
0.042576923,0,0.042576923,0,0.042576923,0,0.042576923,0,0.27675,0.25,0.27675,-0.9375,0.27675,0.265625,0.27675,8.305343628,0.27675,8.79389286,0.27675,0.97709924
0.043615385,0,0.043615385,0,0.043615385,0,0.043615385,0,0.2835,0.25,0.2835,-0.921875,0.2835,0.328125,0.2835,9.770992279,0.2835,7.816793919,0.2835,-0.48854962
0.044653846,0,0.044653846,0,0.044653846,0,0.044653846,0,0.29025,0.203125,0.29025,-0.859375,0.29025,0.3125,0.29025,10.25954151,0.29025,8.305343628,0.29025,0
0.045692308,0,0.045692308,0,0.045692308,0,0.045692308,0,0.297,0.21875,0.297,-0.9375,0.297,0.203125,0.297,9.282443047,0.297,9.770992279,0.297,-0.48854962
