DM: Ch1 (Dev1) [Volts],BB: Ch2 (Dev1) [Volts],ACC: Ch3 (Dev1) [Volts],ACC: Ch4 (Dev1) [g],ACC: Ch5 (Dev1) [g],ACC: Ch6 (Dev1) [g]
1.409517e-005,2.600673e-006,3.918879e-005,2.331291e+000,1.928821e+000,1.536389e+000
9.724024e-006,-9.865191e-006,3.918879e-005,2.330158e+000,1.927688e+000,1.535579e+000
7.781291e-006,-1.391255e-005,3.902689e-005,2.329187e+000,1.926393e+000,1.535094e+000
5.676665e-006,-4.036995e-006,3.902689e-005,2.328539e+000,1.926717e+000,1.534770e+000
-1.423634e-005,8.428869e-006,3.886500e-005,2.328863e+000,1.927040e+000,1.536065e+000
-3.528260e-005,1.587601e-005,3.854121e-005,2.329996e+000,1.926555e+000,1.535255e+000
-1.569339e-005,1.150486e-005,3.902689e-005,2.328053e+000,1.927364e+000,1.532827e+000
-1.002708e-005,4.381511e-006,3.870311e-005,2.327568e+000,1.928012e+000,1.533960e+000
9.562129e-006,-3.551311e-006,3.854121e-005,2.327568e+000,1.927202e+000,1.533637e+000
8.428869e-006,-1.067466e-005,3.821742e-005,2.327568e+000,1.927202e+000,1.533151e+000
7.295609e-006,-7.112987e-006,3.837932e-005,2.328053e+000,1.925260e+000,1.531694e+000
1.700927e-005,-3.389417e-006,3.789363e-005,2.327244e+000,1.924936e+000,1.530237e+000
2.008526e-005,-1.446685e-006,3.789363e-005,2.325949e+000,1.925907e+000,1.530075e+000
9.400234e-006,-4.522677e-006,3.837932e-005,2.326273e+000,1.927688e+000,1.531694e+000
-1.083656e-005,-1.446685e-006,3.870311e-005,2.327244e+000,1.928659e+000,1.535094e+000
-2.994009e-005,6.486137e-006,3.886500e-005,2.328053e+000,1.929307e+000,1.535903e+000
-1.650286e-005,3.572039e-006,3.902689e-005,2.329996e+000,1.929955e+000,1.537522e+000
-1.536960e-005,2.924462e-006,3.918879e-005,2.330644e+000,1.927688e+000,1.537036e+000
4.867194e-006,-4.522677e-006,3.870311e-005,2.328863e+000,1.927850e+000,1.535417e+000
1.312380e-005,-1.608580e-006,3.935069e-005,2.326920e+000,1.926879e+000,1.532989e+000
9.885918e-006,-1.608580e-006,3.918879e-005,2.324006e+000,1.925260e+000,1.531694e+000
1.166676e-005,-1.326497e-005,3.935069e-005,2.320930e+000,1.924774e+000,1.533151e+000
8.266975e-006,-1.650286e-005,3.902689e-005,2.320121e+000,1.926555e+000,1.532179e+000
5.838559e-006,-7.922458e-006,3.918879e-005,2.320283e+000,1.924936e+000,1.532503e+000
-1.083656e-005,6.162348e-006,3.902689e-005,2.321740e+000,1.921860e+000,1.532665e+000
-2.556894e-005,1.474275e-005,3.886500e-005,2.324492e+000,1.922022e+000,1.533798e+000
-1.083656e-005,1.020971e-005,3.886500e-005,2.325787e+000,1.922993e+000,1.535255e+000
-6.627303e-006,5.676665e-006,3.837932e-005,2.324330e+000,1.922184e+000,1.534284e+000
1.458085e-005,-2.256157e-006,3.773174e-005,2.325625e+000,1.922669e+000,1.534608e+000
6.486137e-006,-7.598670e-006,3.773174e-005,2.326435e+000,1.924450e+000,1.535579e+000
5.352877e-006,-8.246247e-006,3.805553e-005,2.325463e+000,1.926555e+000,1.535903e+000
1.150486e-005,-7.112987e-006,3.789363e-005,2.322549e+000,1.924288e+000,1.536227e+000
1.506654e-005,-4.198888e-006,3.756985e-005,2.320606e+000,1.923965e+000,1.538332e+000
5.838559e-006,-3.875100e-006,3.821742e-005,2.321254e+000,1.924936e+000,1.541407e+000
-1.763612e-005,-1.608580e-006,3.821742e-005,2.322387e+000,1.928012e+000,1.542865e+000
-3.317797e-005,2.600673e-006,3.886500e-005,2.326111e+000,1.930602e+000,1.546264e+000
-1.715043e-005,-7.991079e-007,3.902689e-005,2.327082e+000,1.930602e+000,1.544807e+000
-1.763612e-005,-3.551311e-006,3.902689e-005,2.326111e+000,1.930278e+000,1.544969e+000
-6.372136e-007,-6.951092e-006,3.918879e-005,2.325463e+000,1.929631e+000,1.543350e+000
1.085728e-005,-7.991079e-007,3.935069e-005,2.327244e+000,1.927364e+000,1.540274e+000
9.076446e-006,-1.770474e-006,3.902689e-005,2.326273e+000,1.925583e+000,1.538979e+000
7.781291e-006,-1.261739e-005,3.918879e-005,2.324492e+000,1.924450e+000,1.538008e+000
5.190982e-006,-1.585528e-005,3.935069e-005,2.323844e+000,1.922184e+000,1.536874e+000
4.543405e-006,-7.112987e-006,3.902689e-005,2.324654e+000,1.921374e+000,1.535094e+000
-1.132224e-005,6.000454e-006,3.854121e-005,2.326111e+000,1.921536e+000,1.535417e+000
-2.734978e-005,1.377138e-005,3.902689e-005,2.327406e+000,1.922022e+000,1.537684e+000
-1.067466e-005,8.105080e-006,3.902689e-005,2.329025e+000,1.918622e+000,1.537522e+000
-2.741840e-006,7.457503e-006,3.854121e-005,2.329187e+000,1.918136e+000,1.536065e+000
1.490464e-005,-1.122897e-006,3.821742e-005,2.328053e+000,1.918136e+000,1.536389e+000
1.377138e-005,-4.522677e-006,3.805553e-005,2.328701e+000,1.917165e+000,1.536713e+000
1.247623e-005,-3.065628e-006,3.805553e-005,2.330320e+000,1.918784e+000,1.535741e+000
2.089473e-005,-2.741840e-006,3.805553e-005,2.329996e+000,1.921698e+000,1.534608e+000
2.170420e-005,-7.991079e-007,3.821742e-005,2.330644e+000,1.924936e+000,1.535417e+000
1.312380e-005,-5.494043e-006,3.821742e-005,2.329834e+000,1.926555e+000,1.537522e+000
-1.310308e-005,-4.846466e-006,3.837932e-005,2.330806e+000,1.926879e+000,1.537036e+000
-2.751167e-005,6.162348e-006,3.870311e-005,2.330806e+000,1.927688e+000,1.537036e+000
-1.585528e-005,4.705299e-006,3.902689e-005,2.329025e+000,1.927850e+000,1.538332e+000
-1.148413e-005,4.867194e-006,3.902689e-005,2.327568e+000,1.927364e+000,1.537846e+000
5.838559e-006,-1.515307e-007,3.918879e-005,2.327406e+000,1.928174e+000,1.538332e+000
9.562129e-006,6.579410e-007,3.951258e-005,2.328053e+000,1.927040e+000,1.539465e+000
6.648031e-006,2.600673e-006,3.886500e-005,2.327892e+000,1.926069e+000,1.539465e+000
6.809926e-006,-9.055719e-006,3.918879e-005,2.325787e+000,1.926717e+000,1.538655e+000
4.057722e-006,-1.423634e-005,3.951258e-005,2.327406e+000,1.925583e+000,1.536874e+000
3.895827e-006,-6.141620e-006,3.902689e-005,2.329673e+000,1.922669e+000,1.537684e+000
-1.536960e-005,9.076446e-006,3.854121e-005,2.328701e+000,1.924774e+000,1.536713e+000
-2.848304e-005,1.490464e-005,3.918879e-005,2.329187e+000,1.927850e+000,1.536065e+000
-1.553149e-005,5.352877e-006,3.886500e-005,2.329025e+000,1.928012e+000,1.536874e+000
-1.180792e-005,-4.753193e-007,3.854121e-005,2.331777e+000,1.926879e+000,1.537360e+000
7.295609e-006,-6.951092e-006,3.789363e-005,2.334529e+000,1.926069e+000,1.538979e+000
7.295609e-006,-1.342686e-005,3.756985e-005,2.336958e+000,1.925421e+000,1.540112e+000
3.572039e-006,-7.760564e-006,3.789363e-005,2.333882e+000,1.925583e+000,1.540274e+000
1.733306e-005,-7.112987e-006,3.805553e-005,2.332911e+000,1.925907e+000,1.542217e+000
1.474275e-005,-1.122897e-006,3.805553e-005,2.332587e+000,1.926879e+000,1.540274e+000
7.943186e-006,-2.903734e-006,3.773174e-005,2.332101e+000,1.928659e+000,1.540274e+000
-1.310308e-005,-1.608580e-006,3.870311e-005,2.331615e+000,1.927364e+000,1.539627e+000
-2.686409e-005,5.514771e-006,3.854121e-005,2.331777e+000,1.924288e+000,1.539627e+000
-1.650286e-005,1.722580e-007,3.854121e-005,2.332748e+000,1.923317e+000,1.538170e+000
-1.116034e-005,-4.753193e-007,3.902689e-005,2.333720e+000,1.924450e+000,1.536389e+000
6.000454e-006,-2.418051e-006,3.935069e-005,2.333720e+000,1.926231e+000,1.536065e+000
8.105080e-006,3.248250e-006,3.902689e-005,2.334691e+000,1.928336e+000,1.536713e+000
6.809926e-006,1.722580e-007,3.870311e-005,2.336634e+000,1.928659e+000,1.538332e+000
6.648031e-006,-1.164603e-005,3.902689e-005,2.338739e+000,1.929793e+000,1.538655e+000
4.057722e-006,-1.116034e-005,3.886500e-005,2.337444e+000,1.930926e+000,1.538170e+000
2.438779e-006,-5.008360e-006,3.854121e-005,2.335177e+000,1.929469e+000,1.539788e+000
-1.504581e-005,7.781291e-006,3.870311e-005,2.331939e+000,1.929793e+000,1.538493e+000
-2.751167e-005,1.280002e-005,3.854121e-005,2.331939e+000,1.931735e+000,1.536389e+000
-8.084353e-006,5.029088e-006,3.870311e-005,2.333072e+000,1.933354e+000,1.534446e+000
-4.522677e-006,6.000454e-006,3.837932e-005,2.333720e+000,1.933840e+000,1.534122e+000
1.360949e-005,-7.991079e-007,3.821742e-005,2.333234e+000,1.933516e+000,1.534122e+000
1.231433e-005,-9.379508e-006,3.789363e-005,2.330806e+000,1.934488e+000,1.534608e+000
9.076446e-006,-5.494043e-006,3.837932e-005,2.330968e+000,1.936754e+000,1.533637e+000
1.749495e-005,-3.065628e-006,3.805553e-005,2.331130e+000,1.938697e+000,1.532503e+000
